name,modrinth,curseforge,description
,n1B6JCKV,839380,Portalkanone mit immersiven Portalen.
100 Days of Zombie Invasion (Höhere Version von Zombie Remake),l9m9tuPN,,"Ein Dead Rising-Modpack basierend auf der berühmten Zombie-Apokalypse, plus einige neue Mods mit neuen Funktionen in der neuen Version von Minecraft! Ziel ist es, so viel wie möglich von der Zombie-Apokalypse nachzubilden."
Animationswelt: Lanke Ren,rqoNUSYX,,Veröffentlichung von BV1DT421a74L |🎨Ästhetische Verbesserungen basierend auf dem offiziellen Stil|⚔️Herzhaftes Kampferlebnis|🐎Reibungsloses Original-Fahrerlebnis|🏕️Fantastische Biome und Strukturen zum Erkunden|⚙️Interessante Verbesserungen und neue Spielmechaniken
AOF (Gesamtstoff) 1.19,mY0lOQFc,,Über 200 Mods!
Bauernhof,TDM3I9Mu,,"Das Farm Modpack ist ein Modpack, das ein elegantes, atmosphärisches und entspannendes Spielerlebnis bieten soll. Von Samen über Pflanzen bis hin zu neuen Tieren, Geräuschen und Physik"
Besserer MC2 (Stoff),shFhR8Vx,,Spielen Sie dieses Modpack nicht wie die Originalversion!
Besserer MC3 (Stoff),NHUidpfR,,Ein spielerorientiertes Original+-Erlebnis | Eine neue Ära besserer MCs!
Besserer MC4 (Forge),4BV47HRn,,Spielen Sie dieses Modpack nicht wie die Originalversion!
FPS-Reduzierer,,904910,
Hervorragende Optimierung,1KVo5zza,,"Ein einfaches Minecraft-Modpack, das sich auf Leistung und Rendering konzentriert."
XPlus-Optimierungspaket,UCpApD3P,,"XPlus PerioTable Modpack ist ein Modpack, das entwickelt wurde, um das Erlebnis des Originalspiels zu verbessern. Das ultimative Ziel dieses Modpacks besteht darin, das Vanilla-Survival-Erlebnis so weit wie möglich zu verbessern, ohne die Spielmechanik zu ändern, und es enthält Funktionen wie FPS/MSPT-Optimierung, Kompatibilität und Survival-Dienstprogramme."
,5FFgwNNP,,Das offizielle Modpack des Cobblemon-Mods für Fabric!
,Jkb29YJU,,Beginne ein echtes Pokémon-Abenteuer in Minecraft: Cobblemon 1.7.3 | ALLE 1025 Pokémon! | Mega-Entwicklungen | Turniere & Abzeichen | Starter-Kit | Einzigartige Strukturen | Eigene Musik | Shader | Optimiert | Und so viel mehr! [1.21.1]
,ch7UHY2J,,Ein clientseitiges Optimierungsmodpack mit einigen zusätzlichen Tweaks.
,1ocGzRHv,,"Eine Zusammenstellung von Vanilla Plus-Mods und -Packs, um das Minecraft-Erlebnis zu perfektionieren, ohne zu weit vom Gefühl des Basis-Spiels abzuweichen!"
,vwgtbO0y,,"Dieses Modpack enthält alles, was Sie als vorgefertigtes Pixelmon-Erlebnis benötigen - Das Pixelmon-Mod, der Pixelmon-Soundtrack, Journeymap, BYG, Natur-/Entdecker-Kompass."
,EGs3lC8D,,"Ein lore-reiches RPG-Modpack, das auf benutzerdefinierten Inhalten basiert. Steigere dein Level und werde stärker mit dem Talentbaum, schmiede und verbessere deine eigene Artefaktwaffe und kämpfe gegen mächtige Bosse, um die Invasion der Leere zu stoppen."
,rQiXwLhB,,"Sind Sie es leid, jedes Mal dasselbe Diamantschwert und denselben Bogen zu bekommen? BattleArmory lässt jede Wiederbelebung wie eine Überraschung sein – 400+ moderne Waffen werden zufällig verteilt, von Call-of-Duty-Klassikern bis zu Cyberpunk-Sci-Fi-Waffen, kombiniert mit CS-Klassikkarten und taktischen Wurfgegenständen. Start mit über 80 FPS und butterweicher Action.** Dies ist keine Testversion eines Mod-Erlebnisses, dies ist ein komplett kostenloser taktischer Shooter-Modpack für 1.20.1. Laden Sie herunter, starten Sie und kämpfen Sie sofort."
,8yKzGJOG,,Das 'That Time I Got Reincarnated as a Slime'-Modpack für Minecraft
,bHUKuhiA,,Die beste Alternative zu OptiFine 26.2
,C9FChyZ3,,"Pokemon Cobblemon Pack - QoL und Performance Mods! Der im Pack enthaltene Server hat Mega-Evolution, Paradox-Pokémon, Area Zero, echte Spieler-Turniere, Raids, Dungeons, Pokémon-Fischen!"
,KRCZSt8F,,Forge 1.20.1 | Alle Quests wurden überarbeitet! | Das beste Horror-Modpack mit Quests und Geschichte! SPIELEN SIE JETZT!
,fgUCZ5nU,,"Ursprünglich für den Pokemon Elysium-Server gemacht, ein Cobblemon-fokussiertes Pack mit Andeutungen von Low-Tech-Steampunk."
,i4XHCd7Q,,Realistisches / mittelalterliches / fortschrittsbasiertes Modpack für Fabric 1.20.1
,MNW3LUwK,,"1.16.5-26.2 | Ein Performance-Modpack, um Ihren Computer davor zu bewahren, sich in einen stärkehaltigen Kartoffel zu verdoppeln, mit einer bemerkenswert optimierten Sammlung von Mods!"
,1Fv3GHYS,,"Ein Muss für Redstone-Spieler, leicht, schnell, klein – das sind seine Merkmale!"
,e0oMrxjp,,"Das einzige Hypixel SkyBlock-Modpack, das Sie brauchen. Entwickelt für modernes Minecraft – über 60 optimierte Mods, ein geführter Einrichtungsassistent und ein Konfigurationssystem, dem kein anderes Pack nahekommt."
,nJ2Rn3SV,,Minimalistisches Modpack zur Verbesserung der Spielleistung. Enthält nur essentielle Mods zur Steigerung der FPS und zur Reduzierung der Systemlast bei gleichzeitiger Beibehaltung von Stabilität und flüssigem Gameplay.
,oVn5uNcU,,"Maßgeschneiderte Liste beliebter Mods zur Verbesserung Ihres Spielerlebnisses auf Hoplite durch Lunar Client, einschließlich Ingame-Nahbereichs-Chat."
,KmiWHzQ4,,[Hypixel Skyblock Modpack] Dieses Modpack enthält häufige Client-seitige Utilities zusammen mit dem Skyblocker Liap Mod.
,X2bWRWhV,,"Das Modpack für den ArdaCraft-Server, ein Herr-der-Ringe-Projekt, das Mittelerde von J.R.R. Tolkien in Minecraft nachbildet."
,7zBMp9RO,,Nehmen Sie die Minecraft-Realismus auf die nächste Stufe.
,MdznSbKA,,"Tauche ein in das Abenteuer mit unserem Modpack! Erkunde Terralith, staune über die Strukturen von YUNG's, MES und MVS; erlebe den ikonischen Create-Mod und seine Addons, optimierte Performance-Mods, begib dich auf eine fesselnde Quest-Reihe und mehr!"
,ICQPO4fX,,"Macht Minecraft so animiert und frisch wie möglich, während es vollständig clientbasiert bleibt (ähnlich wie beim Actions & Stuff Pack)"
,t1tOiUHZ,,"Ein einfaches, optimiertes Vanilla+-Pack, außer der Aufnahme von Create (und seinen Addons). Jetzt mit Create: Aeronautics!"
,uPkIzDYf,,"Ein Horror-Modpack, das gruselig ist"
,HghLSUi5,,"Mod optimiert und ins PT-BR übersetzt, entwickelt, um Cobblemon auf Mobilgeräten mit Pojav auszuführen."
,yiYYuulE,,"EIN STABILER, ZU 100 PROZENT FUNKTIONIERENDER Modpack für die Kompatibilität von Distant Horizons & Iris Shadern."
,Mo0nlQxI,,"Ein leichtes Modpack, um sofort in eine Welt mit Freunden einzutauchen, die Simple Voice Chat auf Lunar Client nutzt."
,mHMxXbIu,,Das offizielle Modpack des Cobblemon-Mods für NeoForge!
,5rDdTb9b,,"Horror-Modpack, das mehrere Bewohner, Herobrine und zahlreiche Horror- und Immersionsmechaniken zum Spiel hinzufügt"
,7ude6Ebx,,Offizielles Modpack des Servers Jornadas Cobblemon.
,aOOJ2mte,,Modpack mit Performance-Mods auf (Neo)Forge
,ougHSXcz,,"Du wirst in eine postnukleare Welt geworfen, die von parasitären Kreaturen überrannt wurde, die darauf fokussiert sind, das übrig gebliebene Leben der Menschheit zu verzehren. Die Welt wird dich an deine Grenzen bringen, während du um dein Überleben gegen den unermüdlichen Ansturm dieser erschreckenden Parasiten kämpfst."
,L9xxumt0,,Optimierung für PojavLauncher konzipiert ✉️Hinweistafel✉️ Unterstützung Minecraft 1.21.1 Unterstützung Minecraft 1.21 Unterstützung Minecraft 1.20.6 Aktualisierung Minecraft 1.20.4 Aktualisierung Minecraft 1.20.2 Aktualisierung Minecraft 1.20.1 2024.8.17
,BHtwz1lb,,OptiFine-Funktionen für Fabric — angetrieben von Fabric-Optimierung und modernen Minecraft-Performance-Mods. Hohe FPS auch auf Low-End-Systemen. 26.2 Alpha!
,g9O0WaGR,,"Eine fortgesetzte Legacy Console Edition-Erfahrung, erweitert durch moderne Java-Edition-Inhalte und QoL! (Ein offizielles Legacy4J-Projekt)"
,8fxQRGcg,,Das beste Modpack zur Optimierung der Leistung von PojavLauncher! Verfügbar in allen Versionen
,cqIwxyhH,,Maßgeschneiderte Liste beliebter Mods zur Verbesserung Ihres Spielerlebnisses beim Spielen von Wynncraft auf Lunar Client.
,uvlobdYF,,"Ein Modpack, das auf Create und soziale Interaktion ausgerichtet ist, das eine glückliche Welt mit deinen Freunden durch mechanische Geräte schafft. Erlebe die Schönheit der Technologie und Mechanik."
,KHwMgdkE,,Die beste Backrooms-Erfahrung für Minecraft
,6HvKwSky,,"Willkommen bei Homestead, einer handgefertigten Welt, die vor Quests strotzt, lebendigen Landschaften und endlosen Baumöglichkeiten bietet. Finden Sie Ihr Zuhause, erkunden Sie und gestalten Sie das gemütliche Leben, von dem Sie immer geträumt haben!"
,PITslCIA,,Maßgeschneiderte Liste beliebter Mods zur Verbesserung Ihres Spielerlebnisses auf der MCC-Insel durch Lunar Client.
,Pwyu7to9,,"Ein Muss für Create-Spieler, leicht, schnell und klein!"
,IDrxZk6D,,"Der einzige Performance-Modpack, das du jemals brauchst."
,tT6OXNXX,,Offizielles Modpack für den BlockFront-Mod
,cJJdkNYP,,Serverseitiges Modpack für Skyblock mit einigen Vanilla+-Features
,u76hn1pF,,"Vulkan-Renderer, der auf treibergebundenen Systemen 43 % mehr Leistung als Sodium liefert. Null Bloatware."
,paoFU4Vl,,"mc26.2 Alpha – Eine moderne, Open-Source-Alternative zu OptiFine für Fabric."
,wleDCmw2,,"Erleben Sie Cobblemon in bester Qualität mit diesem Modpack für Cobblemon Pokemania! Der im Paket enthaltene Server bietet ALLE Pokémon-Modelle sowie Megas, Z-Moves, Terastallisierung, Raids, Kosmetika und viel mehr!"
,ddF4bxsz,,"Maximale Leistung, beseitigt Ruckeln und beschleunigt alles, ohne Vanilla zu brechen. Sodium, Vulkan, Embeddium und Nothirium. Wurde früher Wing genannt."
,lz3ryGPQ,,"Ein Modpack, das Minecraft so macht, wie es sein sollte, damit du es wieder genießen kannst."
,tlWx9npV,,"Erleben Sie ein echtes prähistorisches Erlebnis, umgeben von beeindruckenden und realistischen Dinosauriern!"
,22jj8tHD,,"Eines der besten Optimierungs-Modpacks für Minecraft, entwickelt zur Leistungssteigerung und Verbesserung des Spielerlebnisses."
,SzFfKsVP,,"Ein Server für den FiskHeroes / Fisk's SuperHeroes Mod, der die offiziellen HeroPacks nutzt."
,8xOSkvVU,,"Dieses Pack zielt darauf ab, die erstaunlichen visuellen Effekte der Minecraft-Trailer im Vanilla-Spiel nachzubilden."
,BYN9yKrV,,"mc26.2 Alpha – Ein leichtgewichtiges, Open-Source-Performance-Modpack für Fabric."
,CZmX2vbs,,"Cobblemon mit fehlenden Features erweitert! Pokémon-Städte, reitbare Pokémon, Mega-Evolutionen, Gym-Leader, Pokémon-Plüschtiere und mehr!"
,kTa7HfI5,,Das offizielle Conquest Reforged Modpack für Fabric!
,JR0bkFKa,,"Kleines, aber effizientes PvP-Modpack."
,UeU522Qh,,Die High-Version des beliebten Gameplay '100 Days of Shock' ist remastert und einzigartig!
,6jLwq7KU,,Maßgeschneiderte Liste beliebter Mods zur Verbesserung des Spielerlebnisses beim Spielen von Hypixel Skyblock auf Lunar Client.
,MQkboJhx,,"HTTYD in Minecraft! Genieße ein Modpack voller Drachen, Wikinger, Dungeons, HTTYD-Referenzen und vielem mehr!"
,mvnoIGxi,,"Es ist normales One-Block-Survival, aber mit vielen Bewohnern, die dir ein erschütterndes Erlebnis bieten (optimiert)."
,mvhIfZLj,,🚀 MAXIMALE FPS OHNE UNNÖTIGE MODS! Nur 16 Optimierungsmods - KEINERLEI EXTRAS! ✅ ALLE WICHTIGEN VERSIONEN ⚡ INSTALLIERBAR AUF JEDEM LAUNCHER! (Anleitung unten)
,p87Jiw2q,,"Entwickelt für Spieler aller Erfahrungsstufen, um modding-inhalte voll auszuschöpfen, sei es Magie, Technik und mehr."
,njITF4u1,,Enthält alle 1028 Pokémon sowie LEGENDÄRE. Wir haben auch Mega-Entwicklung.
,JV4lvByf,,[LIES DIE BESCHREIBUNG] Ersetzt die Minecraft-Einführung durch eine neue Mojang-Animation und den offiziellen Outro des Minecraft-Kanals!
,8jHBWQlK,,"Kimetsu no Yaiba (Demon Slayer) ist ein RPG-Modpack für Spieler, die zu einem Dämon oder Dämonenjäger werden wollen!"
,VUmd23oG,,"Skyblock-Modpack, das sich ganz um den Mod Create dreht."
,jzO4AHJD,,"Erleben Sie den ununterbrochenen Nervenkitzel, während Sie in einer Welt voller Zombies kämpfen. Bereiten Sie sich vor, bauen Sie Ihre Festung und nutzen Sie Ihre Überlebensfähigkeiten auf dieser erstaunlichen Reise!"
,91tn21DV,,"Jujutsu Kaisen (Sorcery Fight) ist ein RPG-Modpack für Spieler, die Zauberer werden und Flüche bekämpfen möchten!"
,SfTr5hl1,,Versatile ist eine Kombination aus allen Luna Pixel Studios Modpacks & mehr!
,FycBo1BI,,"Lucky Block Challenge!, Lucky Blocks, Lucky OneBlock, Lucky Race, Lucky Games, Lucky Pillars und mehr!"
