name,modrinth,curseforge,description
,ZnmdXAk2,564236,Klassischer Minecraft-Weltraum-Mod
,bXX9h73M,621768,Controller-Unterstützung und umfassende Verbesserungen der Steuerungsfunktionen hinzugefügt.
,k2ZPuTBm,546670,"Verbessern Sie Ihr Minecraft-Erlebnis mit einem einfachen Mod. Hosten Sie die Welt kostenlos, chatten Sie mit Freunden und vieles mehr!"
,ll2RO0er,878379,Tief im Inneren der Erde und in anderen Dimensionen ist die Luft nicht immer atmungsaktiv.
,eFDDpt8w,630788,Wählen Sie aus über 60 Outfits und werden Sie ein wahrer Superheld in Minecraft!
,gPCdW0Wr,605235,"Client-Mod, der Blasenpartikel platzen lässt und sie realistisch an die Wasseroberfläche steigen lässt."
,P7dR8mSH,306612,"Eine leichte modulare API, die allgemeine Hooks und Interoperabilitätsmaßnahmen bereitstellt, die von Fabric-Toolchain-Modulen verwendet werden."
,derP0ten,852665,Die Mutanten sind zurück! Stelle dich schrecklichen Kreaturen und mächtigen Bestien wie nie zuvor.
,wQfMUdZT,368223,"Client-Mod, der mehrere Reihen von Vanilleherzen durch eine einzelne Reihe von farbigen Herzen ersetzt"
,Xbc0uyRg,624165,Bauwerkzeuge und ästhetische Technologie
,JmybsfWs,864781,"Ein Mod, der zufällige Inhalte hinzufügt und möglicherweise versucht, in das Create-Thema zu passen!"
,Wq5SjeWM,416796,Passen Sie die Menüs von Minecraft ganz einfach an!
,1PfY6b5p,521393,Lösung für Modul zum Zugriff auf die JEI-API
,ohNO6lps,547434,Das Konfigurationssystem von NeoForge und Forge wird dem Rest des Modding-Ökosystems zur Verfügung gestellt. Speziell für die Multi-Loader-Architektur entwickelt.
,5aaWibi9,341284,Datengesteuertes Schmuckmodul
,fU7jbFHc,891234,Hilfsbibliothek
,L6HW4EbG,841311,"Fügt der Serverliste ein Flag hinzu, das den Standort des Servers anzeigt."
,fFEIiSDQ,412082,"Original + Erweiterungen: Gläser, Wegweiser, Wasserhähne, Wetterfahnen-Federwerfer, Wandleuchten, Pflanzgefäße, Lichter, Dekorationen und Automatisierung"
,g96Z4WVZ,949555,Optimierungsmodule konzentrierten sich auf andere Inhalte als das Rendern
