name,modrinth,curseforge,description
,dJDguz4I,554334,Dem RS-Dorf wurden weitere Dorfbewohnerhäuser hinzugefügt
,fowZjVlu,916716,"Fehlende Rezepte hinzugefügt, um das Survival-Gameplay zu unterstützen."
,LWGq2eg6,888795,Fügen Sie Symbolmodule zu den Karten und Minikarten von xaero hinzu. Mehrere Symbolmodule
,5TWoVsKB,825227,Koch- und Küchenhäuser zum RS-Dorf hinzugefügt!
,,902219,
,U5SedJ9S,580036,Neue und verbesserte Boss-Gesundheitsleiste!
,MWxo45tD,966271,Ich habe mit Hilfe von KI ein realistisches Texturpaket erstellt. Dies ist die HD-Version.
,vPaHlT2U,1009214,"Ein EMF-Ressourcenpaket, das den Spielern Augenanimationen von Fresh Animations bietet. Das ist alles..."
,HVnmMxH1,627557,"Bewahrung von Minecraft-Elementen mit außergewöhnlicher Qualität, Detailtreue und Leistung."
,ta5dy0aA,477204,Minecraft neu gedacht
,e1btfmyH,511091,Ressourcenpaket für alle Kreaturen im Minecraft-Universum!
,BaY1UdGV,853880,"Dunkle Benutzeroberfläche, die jedem Funktionsblock einzigartige Texturen hinzufügt"
,8GunilxB,538850,10 benutzerdefinierte Rahmen für legendäre Tooltips hinzugefügt.
,yfDziwn1,867964,Inoffizielle Übersetzung des Sodium Minecraft Mods
,RRxvWKNC,580683,Niedrige Flammen auf dem Bildschirm! Kompatibel mit der Originalversion
,IsCR9XVF,544434,"Add-on-Paket für BetterVanillaBuilding, das Overlays für Gras/Erd/Sand usw. erneut hinzufügt."
,dspVZXKP,819030,"Bewirkt, dass Gras und zugehörige Blöcke an den Seiten obere Texturen verwenden. Kompatibel mit anderen Ressourcenpaketen!"
,wCD3KHxh,854640,"Texturpakete für Minecraft sorgen für ein realistisches Aussehen mit detaillierten Texturen und natürlichen Lichteffekten. Perfekt für Spieler, die natürliche Ästhetik mögen."
,gAvG8ZeC,917314,Der RS-Tempel wurde in den Stil des Better Jungle-Tempels geändert
,h6zxsNVF,664719,"Mandala GUI ist ein elegantes Theme im Stil von Mandala Creations. Entwickelt für Leute, die den Dunkelmodus mögen. Es ändert nur die Benutzeroberfläche von Minecraft, keine Gegenstände oder Blöcke."
,PTSGmxET,471167,Eine HD- und PBR-Überarbeitung der Originaltexturen
,tDBJQuOZ,961553,"Aktualisiertes Zombie-Erscheinungsbild, um es mit physikalischen Effekten realistischer und animierter zu machen"
,w0TnApzs,436482,"Behalten Sie das Texturgefühl des ursprünglichen Minecraft bei, mit doppelter Auflösung und doppeltem Spaß!"
,izsIPI7a,431203,"Ziel von MakeUp ist es, das beste Qualitäts-/Leistungsverhältnis zu bieten und einen Shader zu entwickeln, der sich an die Ressourcen jedes Einzelnen anpassen kann."
,oL18adaQ,597127,"Lassen Sie das Erz leuchten, um es besser sichtbar zu machen, und fügen Sie verbindende Umrisse hinzu, damit Sie keine Blöcke übersehen. Unterstützt Mods."
,RphJSnEs,406081,"Hochgradig anpassbares Shader-Paket. Wenn Sie Spezialeffekte lieben, ist dieses Shader-Paket genau das Richtige für Sie!"
,UYd23ZmY,592278,Kupfergolem und Imker zum RS-Dorf hinzugefügt
