name,modrinth,curseforge,description
,Q1vvjJYV,322506,"Shader-Paket für Minecraft: Java Edition. Es ist hell, farbenfroh und einzigartig."
,dEAKT8y9,345953,"Ein Shader-Paket, das es so einfach wie möglich hält, aber dennoch dynamische Schatten hinzufügt und das ursprüngliche Rendering so weit wie möglich beibehält."
,PYhc7nNa,338898,"Shader, die Natur und Fantasie perfekt verbinden."
,UaS8ROxa,602290,"Extrem leicht, mit Schatten und Reflexionen."
,R6NEzAwj,385587,"Verwandeln Sie das Aussehen von Minecraft mit außergewöhnlicher Qualität, Detailtreue und Leistung."
,ygChbn8J,855381,Ein schnelles und hochwertiges Shader-Paket mit realistischer Grafik und PBR-Atmosphäre.
,BS9T99lD,832754,"Ein einfacher Java-Shader für Minecraft, der versucht, die Vanilla-Ästhetik beizubehalten und gleichzeitig optionale Schatten, farbige Beleuchtung und Raytracing hinzuzufügen."
,71EyVfCn,486209,"Ein Shader, der Minecraft Realismus und ein tolles Aussehen verleiht."
,EpQFjzrQ,678384,Ein leistungsstarkes Shader-Paket im Fantasy-Stil mit farbenfroher Beleuchtung und atemberaubenden visuellen Effekten.
,sclYVqbt,759541,"Ein Shader-Paket, das das Erlebnis mit anpassbaren Einstellungen und wunderschönen Lichtsimulationen verbessert."
,ZvitaqQh,449652,"Ein Shader-Paket, das auf dem alten Chocapic13-Shader basiert."
,Xl42lc6c,669144,Ein minimalistisches und leistungsstarkes Raytracing-Shader-Paket.
,ZvMtQlho,610844,Ein leistungsstarkes Shader-Paket im Fantasy-Stil mit Schwerpunkt auf Szenenvariation und -anpassung.
,LMIZZNxZ,534748,"Ein Shader-Paket, das den Stil des eingestellten Super Duper Graphics Pack und anderer beliebter Minecraft-Titel vermitteln soll."
,xEItlMn3,326302,Erfassen Sie die Essenz älterer Shader für einen stilisierten und modernen Minecraft-Look.
,,544096,
,sC1oZTSS,920167,Ein leichtes und spielfreundliches Shader-Paket!
,UDDa70lE,363825,"Dieses Shader-Paket ist im Grunde nur ein loses Remake meines alten SEUS-Mods, ohne dessen Code zu verwenden."
,WX4iF5Cj,467280,"Ein sehr leichtes Shader-Paket, das aber auf seine Art immer noch großartig aussieht."
,Y8161YLz,322270,"Ein hochwertiges und realistisches, aber auch stilisiertes Shader-Paket."
,EPsIYDj1,322360,"Ein Shader-Paket, das Minecraft eine moderne visuelle Überarbeitung verleiht und dabei seinem ursprünglichen Aussehen treu bleibt."
,HVnmMxH1,627557,"Bewahrung der Elemente von Minecraft mit außergewöhnlicher Qualität, Detailtreue und Leistung."
,izsIPI7a,431203,"Ziel von MakeUp ist es, das beste Qualitäts-/Leistungsverhältnis zu bieten und einen Shader zu entwickeln, der sich an die Ressourcen jedes Einzelnen anpassen kann."
,RphJSnEs,406081,"Hochgradig anpassbares Shader-Paket. Wenn Sie Spezialeffekte lieben, ist dieses Shader-Paket genau das Richtige für Sie!"
,EQWX2WiO,618217,"Ein stilisiertes Iris-Shader-Paket im Horror-Stil, das hochgradig anpassbar und leistungsstark ist."
