name,modrinth,curseforge,description
,Q1vvjJYV,322506,
,dEAKT8y9,345953,
,PYhc7nNa,338898,
,UaS8ROxa,602290,
,R6NEzAwj,385587,
,ygChbn8J,855381,
,BS9T99lD,832754,
,71EyVfCn,486209,
,EpQFjzrQ,678384,
,sclYVqbt,759541,
,ZvitaqQh,449652,
,Xl42lc6c,669144,
,ZvMtQlho,610844,
,LMIZZNxZ,534748,
,xEItlMn3,326302,
,,544096,
,sC1oZTSS,920167,
,UDDa70lE,363825,
,WX4iF5Cj,467280,
,Y8161YLz,322270,
,EPsIYDj1,322360,
,HVnmMxH1,627557,
,izsIPI7a,431203,
,RphJSnEs,406081,
,EQWX2WiO,618217,
,iHC8BZn4,1040578,
,6uJCfiCH,921717,
,by2i3tnt,1093481,
,w8N6pbsN,758336,
,pgzM6RBY,1085570,
,BkTdFBUU,813185,
,CiFGzRV9,969143,
,,273654,
,YU49BElv,676136,
,sAZ9WsJP,1159841,
,e2fAZfFz,1016013,
,BUxf36AP,1113130,
,4kHmJd4i,508365,
,yhuqxlbn,1038016,
,Ah4Q0Hhi,1112674,
,XaonJnsc,1167228,
,LTvf5Tji,1155908,
,lLqFfGNs,1110131,
,1BZ68dI8,1092607,
,bNFqrJXS,996289,
,7eXucZxq,331780,
,D5k8BTVz,883885,
,BWnGghPW,1058040,
,tLyAc6iV,1086316,
,Kqx96bgP,914435,
,hgAKxFQg,1078762,
,5aFJgbak,1091924,
,HpOC6pyc,665460,
,SvynK6FG,1109406,
