name,modrinth,curseforge,description
,n1B6JCKV,839380,Portal Gun avec portails immersifs.
100 Days of Zombie Invasion (version supérieure de Zombie Remake),l9m9tuPN,,"Un modpack Dead Rising basé sur la célèbre apocalypse zombie, ainsi que quelques nouveaux mods avec de nouvelles fonctionnalités dans la nouvelle version de Minecraft ! Vise à recréer autant que possible l’apocalypse zombie."
AOF (tout en tissu) 1.19,mY0lOQFc,,Plus de 200 modules !
Excellente optimisation,1KVo5zza,,Un simple modpack Minecraft axé sur les performances et le rendu.
ferme,TDM3I9Mu,,"Le Farm Modpack est un modpack conçu pour offrir une expérience de jeu élégante, atmosphérique et relaxante. Des graines aux plantes, en passant par de nouveaux animaux, sons et physique"
Meilleur MC2 (tissu),shFhR8Vx,,Ne jouez pas à ce modpack comme la version originale !
Meilleur MC3 (tissu),NHUidpfR,,Une expérience Original+ centrée sur le joueur | Une nouvelle ère de meilleurs MC !
Meilleur MC4 (Forge),4BV47HRn,,Ne jouez pas à ce modpack comme la version originale !
Monde de l'animation : Lanke Ren,rqoNUSYX,,Sortie BV1DT421a74L |🎨Améliorations esthétiques basées sur le style officiel|⚔️Expérience de combat chaleureuse|🐎Expérience de conduite originale et fluide|🏕️Biomes et structures fantastiques à explorer|⚙️Ajustements intéressants et nouvelles mécaniques de jeu
Pack d'optimisation XPlus,UCpApD3P,,"XPlus PerioTable Modpack est un Modpack conçu pour améliorer l'expérience du jeu original. Le but ultime de ce modpack est d'améliorer autant que possible l'expérience de survie vanille sans changer les mécanismes de jeu, et il inclut des fonctionnalités telles que l'optimisation FPS/MSPT, la compatibilité et les utilitaires de survie."
Réducteur de FPS,,904910,
