name,modrinth,curseforge,description
,dJDguz4I,554334,Ajout de plus de maisons de villageois au village RS
,fowZjVlu,916716,Ajout de recettes manquantes pour prendre en charge le gameplay de survie.
,LWGq2eg6,888795,Ajoutez des modules d'icônes aux cartes et mini-cartes de xaero. Plusieurs modules d'icônes
,5TWoVsKB,825227,Ajout de maisons de chef et de cuisine au village RS !
,neV8mvWG,902219,
,U5SedJ9S,580036,Nouvelle barre de santé du Boss améliorée !
,MWxo45tD,966271,J'ai créé un pack de textures réaliste avec l'aide de l'IA. Il s'agit de la version HD.
,vPaHlT2U,1009214,Un pack de ressources EMF qui apporte aux joueurs les animations Eye de Fresh Animations. C'est tout...
,HVnmMxH1,627557,"Préserver les éléments Minecraft avec une qualité, des détails et des performances exceptionnels."
,ta5dy0aA,477204,Minecraft réinventé
,e1btfmyH,511091,Pack de ressources pour toutes les créatures de l'univers Minecraft !
,BaY1UdGV,853880,Interface utilisateur sombre qui ajoute des textures uniques à chaque bloc fonctionnel
,8GunilxB,538850,Ajout de 10 cadres personnalisés pour les info-bulles légendaires.
,yfDziwn1,867964,Traduction non officielle du mod Sodium Minecraft
,RRxvWKNC,580683,Flammes basses sur l'écran ! Compatible avec la version originale
,IsCR9XVF,544434,"Package complémentaire pour BetterVanillaBuilding qui rajoute des superpositions pour l'herbe/la terre/le sable, etc."
,dspVZXKP,819030,Permet à l'herbe et aux blocs associés d'utiliser les textures supérieures sur les côtés. Compatible avec d'autres packs de ressources !
,wCD3KHxh,854640,"Les packs de textures pour Minecraft offrent un aspect réaliste, avec des textures détaillées et des effets de lumière naturels. Parfait pour les joueurs qui aiment l’esthétique naturelle."
,gAvG8ZeC,917314,Modification du temple RS pour le style du temple Better Jungle.
,h6zxsNVF,664719,"Mandala GUI est un thème élégant dans le style de Mandala Creations. Conçu pour les personnes qui aiment le mode sombre. Cela modifie uniquement l'interface utilisateur de Minecraft, pas les éléments ou les blocs."
,PTSGmxET,471167,Une refonte HD et PBR des textures originales
,tDBJQuOZ,961553,Apparence de zombie mise à jour pour la rendre plus réaliste et animée avec des effets physiques
,w0TnApzs,436482,"Conservez la sensation de texture du Minecraft original, avec deux fois la résolution et deux fois plus de plaisir !"
,izsIPI7a,431203,"MakeUp vise à fournir le meilleur rapport qualité/performance, en construisant un shader capable de s'adapter aux ressources de chacun."
,oL18adaQ,597127,Faites briller le minerai pour le rendre plus visible et ajoutez-y des contours de connexion pour ne manquer aucun bloc. Prend en charge les modules.
,RphJSnEs,406081,"Pack de shaders hautement personnalisable. Si vous aimez les effets spéciaux, ce pack de shaders est fait pour vous !"
,UYd23ZmY,592278,Ajout d'un golem de cuivre et d'un apiculteur au village RS
,rx58ZUPu,300317,Portage des textures vanille et mod modernes vers les anciennes versions
,DH3mBsnJ,359168,Des améliorations respectueuses de l'original. Prise en charge de la fonction Optifine
,prcbs7PM,367352,Ajout de bordures à chaque minerai pour les rendre plus faciles à trouver
,XlqZTP4W,296616,"Les arbres dans la vraie vie sont ronds, pourquoi pas dans Minecraft ?"
,EQWX2WiO,618217,"Un pack de shaders Iris stylisé sur le thème de l'horreur, hautement personnalisable et performant."
,YAVTU8mK,813608,Fournit des options de personnalisation supplémentaires pour Fresh Animations.
,kawJN2LZ,834285,Modules complémentaires de compatibilité pour les mods Friends and Foes et CTOV
,16olY6M5,813307,Utilisez le format Optifine/ConnectedTextureMod/Vanilla (CoreShaders) pour faire briller ou auto-éclairer quelque chose en vanille.
,qQCeAB8E,903049,Ajouter une offre supplémentaire pour VillagersPlus
,2HCcCaiw,962689,
,lsMrkYaZ,915864,Un module complémentaire simple pour créer des minerais modifiés à la manière de JICKLUS !
,qcfGSnrv,871190,Traduction russe et corrections de texte pour le mod.
,5aPp18Lx,496311,Un package de ressources léger qui fournit principalement des modèles 3D de style original
,ff4JOkSA,557489,Donne à tout le feuillage un aspect luxuriant
,yUIJRaXB,936567,"Cette fois, je vous propose le pack PvP ""Blue Flash"". Il s'agit d'un simple pack de textures PvP qui modifie les textures GUI des armures et des armes en fonction des tons bleus et blancs. Ce pack rend vos batailles PvP encore meilleures. Prend en charge la version 1.16 et supérieure."
,iqOgCgNa,606254,Ajoutez une tour similaire à The Legend of Zelda : Breath of the Wild pour rendre l'exploration encore plus amusante !
,PUUpX2qq,520028,"Paquet de ressources 32x, les détails sont traités avec le plus grand soin"
,nX8FKH9H,749689,Police RPG médiévale gothique
,4Tjpn35e,1007509,La texture du bois par défaut est un peu ennuyeuse et répétitive. Pensez-vous qu’un changement est nécessaire ?
,nkIDbx5j,580481,[ 1.13 - 1.19 ] Un verre clair réaliste et très cohérent !
,LBcosBrl,356831,"Non seulement une retexture, mais un pack de textures qui contient des blocs, des objets et des variétés de biomes supplémentaires."
,VBRCYdWr,567347,"Propose des cabanes, des blocs et des objets coloniaux originaux."
,zQHARVIr,455845,STONEBORN est une refonte de l'interface utilisateur simple mais unique inspirée des médias fantastiques.
,xldhKzjO,927966,Pensez-vous que les elfes de la neuvième génération sont trop laids et ont l'air précipités ? Voici un correctif !
,2YyNMled,231821,"Dramatic Skys est un pack complémentaire qui ajoutera des nuages ​​​​et des effets de lumière réalistes haute définition à votre ciel de jeu. Ce pack est compatible avec n'importe quel autre pack de ressources, ajoutez-le simplement au-dessus des autres packs sur l'écran de sélection !"
,mjPjLK0t,945447,Interface graphique sur le thème de l'espace - remplie d'étoiles et de nébuleuses.
,zzh3Y6f4,298127,Une police ouverte qui ressemble à Google.
,WiAsCCzc,817895,Un pack de ressources super mignon et entièrement conforme aux normes LabPBR !
,iHC8BZn4,1040578,"Un pack de shaders d'horreur atmosphérique et hautement personnalisable, le successeur d'Insanity Shader."
