name,modrinth,curseforge,description
,n1B6JCKV,839380,没入型ポータルを備えたポータルガン。
100 Days of Zombie Invasion (ゾンビリメイクの上位バージョン),l9m9tuPN,,有名なゾンビ黙示録をベースにしたデッド ライジング MODパックに加え、新しいバージョンの Minecraft の新機能を備えた新しい MOD がいくつか含まれています。ゾンビ黙示録を可能な限り再現することを目指しています。
AOF(ファブリック全体) 1.19,mY0lOQFc,,200以上のMOD！
FPS リデューサー,,904910,
XPlus最適化パッケージ,UCpApD3P,,XPlus PerioTable Modpack は、元のゲームのエクスペリエンスを向上させるために設計された Modpack です。この Modpack の最終的な目標は、ゲームの仕組みを変更せずにバニラのサバイバル エクスペリエンスを可能な限り改善することであり、FPS/MSPT の最適化、互換性、サバイバル ユーティリティなどの機能が含まれています。
アニメーションワールド: ランケ・レン,rqoNUSYX,,リリース BV1DT421a74L |🎨公式スタイルに基づいた美的改善|⚔️心温まる戦闘体験|🐎スムーズなオリジナルのライディング体験|🏕️探索できる素晴らしいバイオームと構造|⚙️興味深い調整と新しいゲームメカニクス
ベターMC2(ファブリック),shFhR8Vx,,この Modpack をオリジナル バージョンのようにプレイしないでください。
ベターMC3(ファブリック),NHUidpfR,,プレイヤー中心の Original+ エクスペリエンス |より良いMCの新時代!
より良いMC4(フォージ),4BV47HRn,,この Modpack をオリジナル バージョンのようにプレイしないでください。
優れた最適化,1KVo5zza,,パフォーマンスとレンダリングに重点を置いたシンプルな Minecraft modpack。
農場,TDM3I9Mu,,Farm Modpack は、エレガントで雰囲気のある、リラックスできるゲーム体験を提供するように設計された Modpack です。種子から植物、さらに新しい動物、音、物理学まで
,5FFgwNNP,,Fabric向けのCobblemonモッドの公式modpack
,Jkb29YJU,,Minecraftで本物のポケモンアドベンチャーを始めよう：Cobblemon 1.7.3 | 全1025匹のポケモン！| メガ進化 | ジムとバッジ | スターターキット | ユニークな構造物 | カスタム音楽 | シェーダー | 最適化 | さらに多く！[1.21.1]
,ch7UHY2J,,いくつかの追加チューニングを含むクライアント側の最適化modpack。
,1ocGzRHv,,基本ゲームの感触から大きく逸脱することなく、Minecraftの体験を完璧にするためのVanilla Plusのmodとパックのコンパイル！
,vwgtbO0y,,このmodpackには、事前に構築されたPixelmon体験に必要なすべてが含まれています - Pixelmon Mod、Pixelmon OST、Journeymap、BYG、自然/探検家コンパス。
,EGs3lC8D,,カスタムコンテンツに基づいて構築された、物語が豊富なRPG modpack。タレントツリーでレベルアップして強くなり、独自のアーティファクト武器を鍛造・強化し、虚空の侵略を阻止するために強力なボスと戦おう。
,rQiXwLhB,,毎回同じダイヤモンドの剣と弓に飽きましたか？BattleArmoryなら、リスポーンごとにサプライズが待っています——400以上の現代兵器がランダムに配布され、コールオブデューティーのクラシックからサイバーパンクSF兵器まで、CSの古典マップと戦術投擲物と共に。起動時は80FPS以上で滑らかなアクション。** これはモッド体験の試用カードではなく、1.20.1用の完全に無料の戦術シューティング統合包です。ダウンロードして起動すれば、すぐに戦闘開始。
,8yKzGJOG,,マインクラフト用『転生したらスライムだった件』modpack
,bHUKuhiA,,OptiFine 26.2の最高の代替案
,C9FChyZ3,,ポケモンCobblemonパック - QoLとパフォーマンスmod！パックに含まれるサーバーにはメガ進化、パラドックスポケモン、エリアゼロ、リアルプレイヤージム、レイド、ダンジョン、ポケモンフィッシングがあります！
,KRCZSt8F,,Forge 1.20.1 | すべてのクエストがリワークされました！| クエストとストーリー付きの最高のホラーmodpack！今すぐプレイ！
,fgUCZ5nU,,元々はポケモンエリシウムサーバーのために作られた、ローテク・ステアパンクの匂いがするCobblemon集中パック。
,i4XHCd7Q,,Fabric 1.20.1用のリアル/中世/進行ベースのmodpack
,MNW3LUwK,,1.16.5-26.2 | あなたのコンピュータが澱粉いもとして二重になるのを防ぐためのパフォーマンスmodパック、非常に最適化されたmodコレクションを搭載！
,1Fv3GHYS,,レッドストーンプレイヤー必携の統合包、軽量、高速、小型が特徴です！
,e0oMrxjp,,必要なHypixel SkyBlock modpackはこれ一つ。現代的なMinecraft用に構築——60以上の最適化mod、ガイド付きセットアップウィザード、他のどのパックにも匹敵しない構成システム。
,nJ2Rn3SV,,ゲームパフォーマンスの向上に最適化されたミニマルなmodpack。安定性とスムーズなゲームプレイを維持しつつ、FPSを向上させシステム負荷を軽減するための必須modのみを含みます。
,oVn5uNcU,,Lunar Client経由でHopliteでのゲームプレイ体験を向上させるための人気modのカスタムリストには、ゲーム内近接ボイスチャットが含まれます。
,KmiWHzQ4,,[Hypixel Skyblock Modpack] このmodpackには一般的なクライアント側ユーティリティとSkyblocker Liap modが含まれています。
,X2bWRWhV,,ArdaCraftサーバー用のmodpack。J.R.R.トールキンの『指輪物語』プロジェクトで、Minecraft中にミドルアースを再創造します。
,7zBMp9RO,,Minecraft のリアリズムを次のレベルへ。
,MdznSbKA,,私たちのModパックで冒険に飛び込もう！Terralithを探検し、YUNG's、MES、MVSの構造物に驚き、象徴的なCreate Modとそのアドオン、プリスティンなパフォーマンスModを受け入れ、魅力的なクエストライン embarked に乗り出そう！
,ICQPO4fX,,クライアントベースのまま、できるだけアニメーション風で新鮮なMinecraftを作ります（Actions & Stuffパックに似ています）
,t1tOiUHZ,,Create（とそのアドオン）を除く、シンプルで最適化されたバニラ+パック。今ではCreate: Aeronauticsを搭載！
,uPkIzDYf,,不気味なホラーModパック
,HghLSUi5,,モバイルでPojavを使用してCobblemonを実行するように作られた、PT-BRに最適化および翻訳されたMod。
,yiYYuulE,,Distant Horizons & Iris Shadersの互換性のためのSTABLE、100パーセント動作するmodパック。
,Mo0nlQxI,,Lunar ClientでSimple Voice Chatを使用して、友達と一緒にすぐに世界に入れる軽量なmodパック。
,mHMxXbIu,,NeoForge用のCobblemon公式modパック。
,5rDdTb9b,,複数の住人、Herobrine、そして多くのホラーと没入感のメカニックスをゲームに追加するホラーmodパック
,7ude6Ebx,,サーバーJornadas Cobblemonの公式modパック。
,aOOJ2mte,,(Neo)Forge上のパフォーマンスModを特徴とするModパック
,ougHSXcz,,人類の残りを消費することに集中した寄生生物に席巻されたポスト核の世界に放り込まれます。これらの恐ろしい寄生生物の絶え間ない攻撃に抗って生き残るために戦う間、世界はあなたを限界まで押しつぶします。
