name,modrinth,curseforge,description
,n1B6JCKV,839380,Portal Gun z wciągającymi portalami.
100 Days of Zombie Invasion (wyższa wersja Zombie Remake),l9m9tuPN,,"Pakiet modów Dead Rising oparty na słynnej apokalipsie zombie, a także kilka nowych modów z nowymi funkcjami w nowej wersji gry Minecraft! Naszym celem jest odtworzenie jak największej części apokalipsy zombie."
AOF (cała tkanina) 1.19,mY0lOQFc,,Ponad 200 modów!
Doskonała optymalizacja,1KVo5zza,,Prosty pakiet modów Minecraft skupiający się na wydajności i renderowaniu.
gospodarstwo rolne,TDM3I9Mu,,"Farm Modpack to pakiet modów zaprojektowany, aby zapewnić elegancką, nastrojową i relaksującą rozgrywkę. Od nasion po rośliny, a także nowe zwierzęta, dźwięki i fizykę"
Lepsze MC2 (tkanina),shFhR8Vx,,Nie graj w ten pakiet modów jak w wersję oryginalną!
Lepsze MC3 (tkanina),NHUidpfR,,Skoncentrowane na graczu doświadczenie Original+ | Nowa era lepszych MC!
Lepsze MC4 (Kuźnia),4BV47HRn,,Nie graj w ten pakiet modów jak w wersję oryginalną!
Pakiet optymalizacyjny XPus,UCpApD3P,,"XPlus PerioTable Modpack to Modpack zaprojektowany w celu poprawy wrażeń z oryginalnej gry. Ostatecznym celem tego pakietu modów jest maksymalne ulepszenie standardowego przeżycia bez zmiany mechaniki gry i zawiera takie funkcje, jak optymalizacja FPS/MSPT, kompatybilność i narzędzia przetrwania."
Reduktor FPS,,904910,
Świat animacji: Lanke Ren,rqoNUSYX,,"Wydanie BV1DT421a74L |🎨Ulepszenia estetyczne oparte na oficjalnym stylu|⚔️Ogromne wrażenia z walki|🐎Płynna, oryginalna jazda|🏕️Fantastyczne biomy i struktury do odkrycia|⚙️Ciekawe poprawki i nowa mechanika gry"
