name,modrinth,curseforge,description
,ZnmdXAk2,564236,Klasyczny mod kosmiczny Minecraft
,bXX9h73M,621768,Dodano obsługę kontrolerów i kompleksowe ulepszenia możliwości sterowania.
,k2ZPuTBm,546670,"Popraw swoje wrażenia z Minecrafta dzięki prostemu modowi. Hostuj świat za darmo, rozmawiaj ze znajomymi i wiele więcej!"
,ll2RO0er,878379,W głębi Ziemi i w innych wymiarach powietrze nie zawsze nadaje się do oddychania.
,eFDDpt8w,630788,Wybieraj spośród ponad 60 strojów i zostań prawdziwym superbohaterem w Minecrafcie!
,gPCdW0Wr,605235,"Mod kliencki, który wystrzeliwuje cząsteczki bąbelków i sprawia, że ​​realistycznie unoszą się one na powierzchnię wody."
,P7dR8mSH,306612,"Lekki modułowy interfejs API, który zapewnia typowe zaczepy i środki interoperacyjności używane przez moduły łańcucha narzędzi Fabric."
,derP0ten,852665,"Mutanty powracają! Zmierz się z przerażającymi stworzeniami i potężnymi bestiami, jak nigdy dotąd."
,wQfMUdZT,368223,"Mod klienta, który zastępuje wiele rzędów waniliowych serc jednym rzędem kolorowych serc"
,Xbc0uyRg,624165,Narzędzia budowlane i technologia estetyczna
,JmybsfWs,864781,"Mod, który dodaje losową zawartość, prawdopodobnie próbującą dopasować się do motywu Utwórz!"
,Wq5SjeWM,416796,Z łatwością dostosuj menu Minecrafta!
,1PfY6b5p,521393,Rozwiązanie dla modułu umożliwiającego dostęp do API JEI
,ohNO6lps,547434,System konfiguracji NeoForge i Forge jest udostępniany pozostałej części ekosystemu modowania. Zaprojektowany specjalnie dla architektury z wieloma modułami ładującymi.
,5aaWibi9,341284,Moduł biżuterii oparty na danych
,fU7jbFHc,891234,Biblioteka pomocnicza
,L6HW4EbG,841311,Dodaje flagę do listy serwerów pokazującą lokalizację serwera.
,fFEIiSDQ,412082,"Oryginał + Dodatki: słoje, drogowskazy, krany, wyrzutnie sprężyn wiatrowskazów, kinkiety, donice, oświetlenie, dekoracje i automatyka"
,g96Z4WVZ,949555,Moduły optymalizacyjne skupiające się na treściach innych niż renderowanie
,8BmcQJ2H,388172,"Biblioteka animacji 3D dla bytów, bloków, przedmiotów, zbroi i nie tylko!"
,dZ1APLkO,430735,Mod umożliwiający wykorzystanie starych systemów walki i starych animacji w Minecrafcie.
,U6GY0xp0,924854,"Odkryj sześć nowych, rzadkich biomów jaskiniowych ukrytych pod powierzchnią świata..."
,uy4Cnpcm,228525,Biblioteka open source dla innych modów!
,EltpO5cN,615106,"Mod, który gwarantuje, że nikt nie przegapi łupów! Wszystkie skrzynki z łupami są indywidualne i wizualnie unikalne dla każdego gracza."
,s9hF9QGp,581009,Darmowe niestandardowe peleryny i dekoracje Minecraft
,bSkHUVQQ,268647,"Dodaje blok do przechowywania punktów doświadczenia, dostępny dla wszystkich graczy"
,qwvI41y9,911437,"Prosty i konfigurowalny mod, który sprawia, że wszystkie (w tym paczki i mody) struktury są bardziej rozproszone (lub bardziej powszechne!), co zasadniczo czyni je rzadszymi/łatwiejszymi do znalezienia. Przydatne w dużych pakietach modów zawierających dużą liczbę modów strukturalnych, aby zachęcić do eksploracji"
,iAiqcykM,561885,"Naciśnij klawisze skrótu, aby powiększyć i użyj kółka myszy, aby dostosować współczynnik powiększenia!"
,XaDC71GB,936015,Moduł biblioteczny zapewniający nową konfigurowalność i ulepszenia kompatybilności dla światowej generacji
,YL57xq9U,993524,"Nowoczesny moduł ładujący pakiety cieniujące Minecraft, zaprojektowany tak, aby był kompatybilny z istniejącymi pakietami cieniującymi OptiFine"
,cpRkny9R,331723,"Dodano dodatkowe bloki/przedmioty wykonane z bambusa, kompatybilne z Forge i Fabric"
,IAnP4np7,871698,"Dodatkowy moduł do Create, który umożliwia naturalne generowanie struktur zawierających wczesne urządzenia i przedmioty Create."
,5lvjfaRs,882993,Usuń niepotrzebne informacje z ekranów debugowania.
,mb68eIfx,545467,Poznaj ogromną i piękną wioskę na niebie!
,1W98a849,535291,"MCA Reborn to mod Minecraft, który znacznie rozszerza funkcjonalność mieszkańców wioski, dodając interakcje, małżeństwo, dziedziczenie dzieci i wiele więcej!"
,ZP7xHXtw,833233,"Spraw, aby pakiety zasobów ładowały się w tle, abyś mógł robić inne rzeczy podczas oczekiwania!"
,3azQ6p0W,398502,"Ulub/przypnij/dodaj do zakładek określone światy, a one zawsze będą na górze listy i nie będzie można ich usunąć."
,LN9BxssP,438332,"Config Lib sprawia, że ​​praca z plikami konfiguracyjnymi jest nieco łatwiejsza."
,P2rffivS,312040,Modyfikacje rdzenia i biblioteki do innych moich projektów
,MI1LWe93,561625,"Mod, który całkowicie odkrywa na nowo oryginalnego Creepera!"
,MEbCLGFC,242436,"Dodawaj, usuwaj i dostosowuj właściwości generowania rudy za pomocą JSON"
,lWDHr9jE,686836,"Drastycznie zmieniono generację świata, dodając góry, podziemne rzeki i wiele więcej!"
,u4fsP72v,687086,Czy obraz wydaje się zbyt statyczny? Wypróbuj Funky Frames
,MdwFAVRL,687131,Mody Pokémon dla Fabric i NeoForge
,lyvwxqAy,890301,Kompleksowy mod drzewa umiejętności skupiający się na specjalizacji bojowej (kariera)
,L1RT5SJc,377835,Dodaje hełm z wizjerem i opancerzony tylny zbiornik do tworzenia modów
