name,modrinth,curseforge,description
,Q1vvjJYV,322506,"Pakiet shaderów dla gry Minecraft: Java Edition. Jest jasno, kolorowo i niepowtarzalnie."
,dEAKT8y9,345953,"Pakiet shaderów, który sprawia, że ​​jest to tak proste, jak to możliwe, ale nadal dodaje dynamiczne cienie i zachowuje oryginalne renderowanie w jak największym stopniu."
,PYhc7nNa,338898,"Shadery zaprojektowane tak, aby idealnie łączyć naturę i fantazję."
,UaS8ROxa,602290,"Niezwykle lekki, z cieniami i odbiciami."
,R6NEzAwj,385587,"Zmień wygląd gry Minecraft dzięki wyjątkowej jakości, szczegółowości i wydajności."
,ygChbn8J,855381,Szybki i wysokiej jakości pakiet shaderów z realistyczną grafiką i atmosferą PBR.
,BS9T99lD,832754,"Prosty moduł cieniujący Java dla Minecrafta, który stara się zachować waniliową estetykę, dodając opcjonalne cienie, kolorowe oświetlenie i śledzenie promieni."
,71EyVfCn,486209,"Moduł cieniujący, który dodaje realizmu i świetnego wyglądu Minecraftowi."
,EpQFjzrQ,678384,Wydajny pakiet shaderów w stylu fantasy z kolorowym oświetleniem i oszałamiającymi efektami wizualnymi.
,sclYVqbt,759541,"Pakiet shaderów, który zwiększa wrażenia dzięki konfigurowalnym ustawieniom i pięknym symulacjom oświetlenia."
,ZvitaqQh,449652,Pakiet shaderów oparty na starszym shaderze Chocapic13.
,Xl42lc6c,669144,Minimalistyczny i wydajny pakiet shaderów do śledzenia promieni.
,ZvMtQlho,610844,"Dobrze działający pakiet shaderów w stylu fantasy, kładący nacisk na zróżnicowanie i dostosowywanie scen."
,LMIZZNxZ,534748,"Pakiet shaderów zaprojektowany tak, aby oddać styl anulowanego pakietu graficznego Super Duper i innych popularnych tytułów Minecraft."
,xEItlMn3,326302,"Uchwyć esencję starszych shaderów, aby uzyskać stylizowany i nowoczesny wygląd Minecrafta."
,,544096,
,sC1oZTSS,920167,Lekki i przyjazny dla gier pakiet shaderów!
,UDDa70lE,363825,Ten pakiet shaderów jest po prostu luźną remake'iem mojego starego SEUS Mod bez użycia żadnego jego kodu.
,WX4iF5Cj,467280,"Bardzo lekki pakiet cieni, ale wciąż wygląda wspaniale na swój sposób."
,Y8161YLz,322270,"Wysokiej jakości, realistyczny, ale także stylizowany pakiet shaderów."
,EPsIYDj1,322360,"Pakiet shaderów, który nadaje grze Minecraft nowoczesny wygląd, zachowując jednocześnie jej oryginalny wygląd."
,HVnmMxH1,627557,"Zachowanie elementów Minecrafta z wyjątkową jakością, szczegółowością i wydajnością."
,izsIPI7a,431203,"Celem MakeUp jest zapewnienie najlepszego stosunku jakości do wydajności, budując moduł cieniujący, który może dostosować się do zasobów każdego użytkownika."
,RphJSnEs,406081,"Wysoce konfigurowalny pakiet shaderów. Jeśli kochasz efekty specjalne, ten pakiet shaderów jest dla Ciebie!"
,EQWX2WiO,618217,"Stylizowany pakiet cieniowania Iris o tematyce horroru, który można w dużym stopniu dostosowywać i który jest wydajny."
,iHC8BZn4,1040578,"Atmosferyczny, wysoce konfigurowalny pakiet shaderów horroru, następca Insanity Shader."
,6uJCfiCH,921717,Straszna zmodyfikowana wersja uzupełniających shaderów.
,by2i3tnt,1093481,Dodano efekt aparatu na ciele.
,w8N6pbsN,758336,"OPAL Shaders to pakiet shaderów Minecraft Java Edition oparty na Shaderach BSL stworzonych przez Capta Tatsu. Został zaprojektowany tak, aby łączyć fantastyczną atmosferę z naturalnymi kolorami i kontrastami, zachowując jednocześnie wierność oryginalnemu stylowi Minecrafta."
