name,modrinth,curseforge,description
,n1B6JCKV,839380,Portal Gun с Immersive Portals.
,1KVo5zza,,"Прекрасная графика, высокая производительность и знакомые функции в простом пакете. Chaos Cubed alpha!"
,l9m9tuPN,,"Зомби-нашествие на 100 дней (ремейк High Version Chaos) – То же самое, что и Forge Labs 100 Days Zombie Apocalypse в новом Minecraft"
,5FFgwNNP,,Официальный модпак мода Cobblemon для Fabric!
,Jkb29YJU,,Начните настоящее приключение покемонов в Minecraft: Cobblemon 1.7.3 | ВСЕ 1025 покемонов! | Мегаэволюции | Залы и значки | Стартовый набор | Уникальные структуры | Авторская музыка | Шейдеры | Оптимизировано | И многое другое! [1.21.1]
,shFhR8Vx,,"Версия 1.20 | Настоящий Vanilla+ модпак | Не играйте в Ваниль, играйте в это!"
,ch7UHY2J,,Клиентский оптимизирующий модпак с несколькими дополнительными настройками.
,1ocGzRHv,,"Сборка модов и паков Vanilla Plus для идеального опыта Minecraft, не слишком отклоняясь от ощущения базовой игры!"
,vwgtbO0y,,"Этот модпак включает всё необходимое для готового опыта Pixelmon - Мод Pixelmon, Саундтрек Pixelmon, Journeymap, BYG, Компас Природы/Исследователя."
,4BV47HRn,,"Версия 1.20.1 | Настоящий Vanilla+ модпак | Не играйте в Ваниль, играйте в это!"
,EGs3lC8D,,"RPG модпак с богатой историей, построенный на пользовательском контенте. Повышайте уровень и становитесь сильнее с Древом Талантов, кувайте и улучшайте свое собственное артефактное оружие и сражайтесь с мощными боссами, чтобы остановить вторжение Пустоты."
,rQiXwLhB,,"Устали каждый раз получать один и тот же алмазный меч и лук? BattleArmory делает каждую реинкарнацию сюрпризом – более 400 современных оружий раздаются случайно, от классики Call of Duty до киберпанк-научной фантастики, вместе с классическими картами CS и тактическими метательными предметами. Старт с 80+ FPS и плавным боем.** Это не пробная карта модового опыта, это полностью бесплатный тактический шутер-модпак для 1.20.1. Скачайте, запустите и сразу вступайте в бой."
,8yKzGJOG,,Модпак 'Когда я переродился слизнем' для Minecraft
,bHUKuhiA,,Лучшая альтернатива OptiFine 26.2
,C9FChyZ3,,"Пакет Pokemon Cobblemon - Моды QoL и Производительности! Сервер, включенный в пакет, имеет Мегаэволюцию, Парадоксальных Покемонов, Зону Ноль, Реальные Залы Игроков, Рейды, Подземелья, Рыбалку Покемонов!"
,KRCZSt8F,,Forge 1.20.1 | Все квесты переработаны! | Лучший хоррор-модпак с квестами и историей! ИГРАЙТЕ СЕЙЧАС!
,fgUCZ5nU,,"Изначально создан для сервера Pokemon Elysium, пак с упором на Cobblemon с оттенками низко-технологичного стимпанка."
,i4XHCd7Q,,Реалистичный / средневековый / основанный на прогрессе модпак для Fabric 1.20.1
,MNW3LUwK,,"1.16.5-26.2 | Модпак производительности, чтобы ваш компьютер не превратился в крахмальную картошку, с Remarkably оптимизированной коллекцией модов!"
,1Fv3GHYS,,"Обязательно для игроков с редстоуном, легкий, быстрый, маленький – вот его особенности!"
,e0oMrxjp,,"Единственный модпак Hypixel SkyBlock, который вам нужен. Создан для современного Minecraft — более 60 оптимизированных модов, мастер настройки и система конфигурации, которой не может соперничать ни один другой пак."
,nJ2Rn3SV,,"Минималистичный модпак, оптимизированный для улучшения производительности игры. Включает только необходимые моды для повышения FPS и снижения нагрузки на систему, сохраняя стабильность и плавность геймплея."
,oVn5uNcU,,"Индивидуальный список популярных модов для улучшения игрового процесса на Hoplite через Lunar Client, включая внутриигровой голосовой чат ближнего действия."
,KmiWHzQ4,,[Модпак Hypixel Skyblock] Этот модпак включает распространенные клиентские утилиты вместе с модом Skyblocker Liap.
,X2bWRWhV,,"Модпак для сервера ArdaCraft, проект Властелин Колец, воссоздающий Средиземье Дж.Р.Р. Толкина в Minecraft."
,7zBMp9RO,,Выводит реализм Minecraft на новый уровень.
,MdznSbKA,,"Погрузитесь в приключение с нашим модпаком! Исследуйте Терралит, восхищайтесь структурами от YUNG's, MES и MVS; примите культовый мод Create и его аддоны, чистые моды производительности, отправьтесь в увлекательную линию квестов и многое другое!"
,ICQPO4fX,,"Делайте Minecraft максимально анимированным и свежим, оставаясь полностью клиентским (похоже на пак Actions & Stuff)"
,t1tOiUHZ,,"Простой, оптимизированный пак типа vanilla+, за исключением включения Create (и его аддонов). Теперь с Create: Aeronautics!"
,uPkIzDYf,,"Хоррор модпак, который жуткий"
,HghLSUi5,,"Мод оптимизирован и переведен на PT-BR, создан для запуска Cobblemon на мобильных устройствах с Pojav."
,yiYYuulE,,"СТАБИЛЬНЫЙ, 100 ПРОЦЕНТНО РАБОТАЮЩИЙ модпак для совместимости Distant Horizons & Iris Shaders."
,Mo0nlQxI,,"Легковесный модпак, чтобы сразу погрузиться в мир с друзьями, используя Simple Voice Chat на Lunar Client."
,mHMxXbIu,,Официальный модпак мода Cobblemon для NeoForge!
,5rDdTb9b,,"Хоррор модпак, добавляющий несколько жителей, Геробрин и множество хоррор-механик и механик погружения в игру"
,7ude6Ebx,,Официальный модпак сервера Jornadas Cobblemon.
,aOOJ2mte,,Модпак с модами производительности на (Neo)Forge
,ougHSXcz,,"Вы оказываетесь в постъядерном мире, захваченном паразитическими существами, сосредоточенными на потреблении остатков человечества. Мир доведет вас до предела, пока вы сражаетесь за выживание против неумолимого натиска этих ужасающих паразитов."
,L9xxumt0,,Спроектированная оптимизация для PojavLauncher ✉️Доска объявлений✉️ Поддержка Minecraft 1.21.1 Поддержка Minecraft 1.21 Поддержка Minecraft 1.20.6 Обновление Minecraft 1.20.4 Обновление Minecraft 1.20.2 Обновление Minecraft 1.20.1 2024.8.17
