name,modrinth,curseforge,description
,dJDguz4I,554334,Add More Villagers houses to RS Villages
,fowZjVlu,916716,"Adds the missing recipes, to enable survival gameplay."
,LWGq2eg6,888795,Icon mod for xaero's map and minimap Many icon mod
,5TWoVsKB,825227,Adds Chefs and Cook houses to RS villages!
,neV8mvWG,902219,
,U5SedJ9S,580036,New improved boss bars!
,MWxo45tD,966271,I made a Realistic Texturepack with the help of AI. This is the upscaled version.
,vPaHlT2U,1009214,A EMF resource pack that brings Fresh Animations eye Animations but for the player. Just that...
,HVnmMxH1,627557,"Preserving the elements of Minecraft with exceptional quality, detail, and performance."
,ta5dy0aA,477204,A Reimagined Vision of Minecraft
,e1btfmyH,511091,The pack for all your mobs of the Minecraft Universe!
,BaY1UdGV,853880,Dark GUI with unique textures for functional blocks. Dark mode for 78 mods
,8GunilxB,538850,Adds 10 various custom frames for use with Legendary Tooltips.
,yfDziwn1,867964,Unofficial translations for the Sodium Minecraft mod
,RRxvWKNC,580683,Low fire on your screen! Vanilla Friendly
,IsCR9XVF,544434,Addon pack for BetterVanillaBuilding that adds back overlays for grass/dirt/sand etc.
,dspVZXKP,819030,Makes grass and related blocks use the top texture on the sides. Works with other resource packs!
,wCD3KHxh,854640,Texture pack for Minecraft provides a realistic look with detailed textures and natural lighting effects. Perfect for fans of natural aesthetics.
,gAvG8ZeC,917314,Change RS Temples to be in Better Jungle Temple's style
,h6zxsNVF,664719,"Mandala GUI is an elegant theme, in the style of Mandala Creations. It is specifically made for people who like Dark mode. It only changes the UI of Minecraft, without changing items or blocks."
,PTSGmxET,471167,Minecraft's vanilla textures faithfully re-imagined in full HD with complete PBR support.
,tDBJQuOZ,961553,Updates zombies to look more realistic with physics-like animations
,w0TnApzs,436482,"The original Minecraft texture feel, with double the resolution and double the fun!"
,izsIPI7a,431203,"MakeUp aims to provide the best quality / performance ratio, building a shader that can be adapted to anyone's resources."
,oL18adaQ,597127,"Makes ores glow to make them more visible, and also adds connected outlines to them so you don't miss a single block. Mod support available"
,RphJSnEs,406081,"Shaderpack with very high customization. If you like effects, this shaderpack is made for you!"
,UYd23ZmY,592278,Добавляет Copper Golems и Beekeepers в деревни RS.
,50dA9Sha,453763,Make your game like the trailers! Dynamic animated entities to freshen your Minecraft experience.
,rx58ZUPu,300317,Backport of modern vanilla and modded textures to legacy versions
,DH3mBsnJ,359168,Vanilla friendly improvements. Optifine features support
,rq4lDGdf,338808,SquarePattern Renaming to Squareful URL not changed SquarePattern: More square texture. Remove the ambiguity of a large number of arc pixels in the vanilla version.Including GUI no longer has rounded corners.
,prcbs7PM,367352,Adds border to every ore and make them easier to find
,XlqZTP4W,296616,"Trees are round in real life, why aren't they in Minecraft?"
,EQWX2WiO,618217,"A stylized, horror themed Iris shaderpack with high customizability and performance."
,YAVTU8mK,813608,A combination of offical extension packs for Fresh Animations
,kawJN2LZ,834285,Compatibility add-on for Friends and Foes mod and CTOV
,16olY6M5,813307,Use Optifine/ConnectedTextureMod/Vanilla(CoreShaders) format to make some things glow or emissive for vanilla.
,qQCeAB8E,903049,Adds Supplementaries trades to VillagersPlus
,2HCcCaiw,962689,
,lsMrkYaZ,915864,An simple add-on that makes some modded ores fit with the JICKLUS style!
,qcfGSnrv,871190,Russian translations and text fixes for mods. | Переводы на русский язык и исправления текста.
,5aPp18Lx,496311,A light-weight resource pack mainly provide vanilla-look 3D models
,ff4JOkSA,557489,Give a bushy look to all leaves
,yUIJRaXB,936567,This time I present you Blue Flash PvP pack. its is a simple PvP texture pack its change texture of the armours and weapons GUI based on blue white colour. this pack make your PvP fight better. version available from 1.16
,iqOgCgNa,606254,Adds Breath Of The Wild-like towers to make exploring a bit more fun!
,PUUpX2qq,520028,32x resource pack with crazy attention to details
,nX8FKH9H,749689,A Gothic Medieval RPG Font
,4Tjpn35e,1007509,The default wood textures are somewhat boring and repetitive. Do you think you need a change?
,nkIDbx5j,580481,[ 1.13 - 1.19 ] A real and very connected clear glass !
,LBcosBrl,356831,The BetterVanillaBuilding pack contains new textures for a large range of default Minecraft blocks and items.
,VBRCYdWr,567347,"Provides colony huts, blocks, & items with a vanilla style feeling."
,zQHARVIr,455845,STONEBORN is a simple and unique UI overhaul inspired by fantasy media.
,xldhKzjO,927966,Ever felt like the gen 9 sprites are way too ugly and rushed looking? Here's a fix for you!
,2YyNMled,231821,"Dramatic Skys is an add on pack that will make the skies in your game HD with realistic clouds and lighting. This pack works with any other resource pack, just simply add it over any other pack on the selection screen!"
,mjPjLK0t,945447,Spaced themed GUI - full of stars and nebulas.
,zzh3Y6f4,298127,An open font that looks similar to Google's.
,WiAsCCzc,817895,A super cute-looking resource pack which is fully LabPBR complaint!
,iHC8BZn4,1040578,"Atmospheric, highly customizable horror shaderpack, successor of Insanity Shader."
,UHDcis5V,506559,The best vanilla resource pack? Maybe...
,ijwaqfQD,380118,Better grass textures (optifine)
,HNlCBDGp,696522,"This resource pack is a lightweight version of the full 424Friends Resource Pack, by only containing modified paintings which have been replaced with 424Friends themed paintings using our official logos and icons."
,6uJCfiCH,921717,"A Spooky, very moody and atmospheric Complementary Shaders Edit"
,an4fOhuR,720642,"A resource pack containing weapons, armor, and items from MrFudgeMonkeyz' Youtube series, Annoying Villagers"
,wE0hjz4k,883456,Compatibility datapack between ChoiceTheorem's overhauled village and gazebos mod
,VpyBGfGz,591507,Добавьте дома PneumaticCraft в деревни RS.
,6SLU7tS5,349116,🌙 The Dark Mode Resource Pack for Minecraft: Java Edition
,DG1SXHAm,951805,A PVP focused crosshair that changes the vanilla crosshair into a pvp one
,pedwdTC8,862558,Display food value on tooltips
,uakHOvte,986528,A PVP focused crosshair that changes the vanilla crosshair into a pvp one
,orfTV6nk,223164,The classic Minecraft experience but in amazing 128x HD!
,qYQZ6QvN,939100,Change your Minecraft menu background with any image of your choice
,LgvDiFDR,476719,Adds variants to ores!
,wpQSS5ZP,664122,True 16x Default PBR
,dLYWYSIm,878406,Compatibility datapack between CTOV and Advanced Peripheral mod
,DyS2E78l,986353,A retexture and remodeling of some of the Create: Teleporters blocks and items
,LxWe8vLh,1096454,"A small, 16x pack adding rudimentary compatibility between Ashen 16x and the Let's Do mods"
,CpA767Rl,308355,1.8.8+; Makes all of the GUI's and HUDs in the game transparent (clear; see-through) for a sleek and modern-looking minimal design! + Fire and Pumpkin overlay support.
,6gN0TwLG,909738,
,r4GILswZ,419139,An even more detailed experience with quadruple-resolution textures!
,vlbXWQ2k,907048,No more shield covering half of your screen!
,B9RvpVrv,622551,Adds realistic mountain ranges to your Minecraft worlds.
,uudmIrRl,864002,Bringing some originality into The Aether!
,apRwIWGw,690845,Unique textures for each enchanted book in the game! Works without Optifine/Citresewn!
,mKaYfrOy,640296,Change RS Pyramids to be in Better Desert Temple's style
,ePaZVJM4,634440,Change RS Witch Huts to be in Better Witch Hut's style
,uZAJ8Zy7,870007,Compatibility datapack between ChoiceTheorem's overhauled village and Wizards mod
,qUbxpIPN,554329,Change RS Dungeons to be in Better Dungeon's style
,tN4E9NfV,855981,An educational tool that explains chat reporting in a simple and neutral way.
,zCW2yzTP,861004,Dive into a breathtaking Minecraft world like never before with our ultra-realistic texture pack and stunning visual effects. Unleash your creativity and embark on an epic journey that will leave you spellbound!
,2C5ThaTB,520155,Modernize the font of Minecraft and make it smooth and beautiful.
,zSHTYbCW,885169,"This I present you Glowing Trim Armors pack. This pack works on renaming the armor 16[13+3] Colours 18 Trims designs OPtifine required Series-[a,c,d,e,g,i,l,n,q,r,ch,rs,gb,p,s,m] and add numbers in last 1-18 ex-r1,d16,g4....etc also shader supported"
,dqHyaXIs,407973,Updates tamed wolves to look like actual dogs (41 new dog breeds)
,aTAs6Zq8,859805,A PVP focused crosshair that changes the vanilla crosshair into a pvp one
,izDZRaNR,428068,Emissive textures for minecraft
,Bod7oeB2,643512,RPG Swords and Tools for PVP (includes custom PVP Crosshair too!)
,GJ4GGBq6,689285,"The official HD Texture Pack for my mod NBArmors. This texture pack modifies the appearance of the armor of my mod, to a more HD texture. 55 HD armors for now... More detail in the texture for the mod."
,mh9nQqo4,881633,CC:Tweaked in the style of Create
,zrzYrlm0,811803,Hostile mobs dig out of the ground or poof into existence when they spawn!
,kl640Av3,652685,Pet Shops in RS villages!
,P5wB88AS,554331,Добавляет Farmer's Delight в деревни Repurposed Structures
,7z5vv7za,686611,Make ores glow in the dark
,DCHWs5EF,499464,A Recource pack that makes Bare Bones compatible with Fresh Animations
,a2GCqbko,883459,Compatibility datapack between CTOV and Paragliders mod
,Z9UclEVT,704941,Adds woodcutter recipes for BetterNether
,O7z3QKAG,422346,Introduces icons throughout different aspects of the game
,qfYE1L5z,662592,Adds an emissive colored outline to the ores! Works with most resource packs!
,3xf3eGxN,390367,The Pixelmon Mod OST by Chris Geddes
,kJix7Q1N,887445,Enhances the End Dimension!
,S2Zdxlhc,951803,A tiny crosshair that changes the vanilla crosshair into a smaller one
,RbDebQrR,1014677,Small collection of Stoneborn UI Overhaul mod compats.
,ZTdGFilE,1038940,Enhance your gaming experience with the Better 3D Craft texture that adds over 70 new 3D models of blocks and items to your game.
,udpUpENa,956447,Restores colored blocked lines back to normal color
,1PGegzf5,911408,The #1 Overlays Resource Pack!
,XSPvBAGx,554361,Spawn I&F's structures in RS Villages
,WbANFu9v,775765,A Legend of Zelda Wind Waker Font
,ESu26zW9,332329,"Are you looking for a fresh new look for Minecraft, which still keeps the traditional feeling? Then you should get the CreatorPack! Enjoy Minecraft with high definition, smooth and clean textures in every part of the game!"
,uefkcaqY,920589,Create theme for Advancement Plaques.
,KEtTF8II,847523,New panorama now with shaders!
,FRSckbRo,336686,Classic Minecraft look & feel with revamped 3D models.
,L21ipgCe,892905,Replaces the golden Tarot Cards textures with their colored variant for my Tarot Cards mod.
,mC2IML84,877191,This resource pack adds badges/icons and colors to item tooltips.
,Symh7COQ,468836,Created Storage Network is an Resource Pack that updates the textures of this incredible mod made by Lothrazar with the textures of another incredible mod by Simibubi.
,8PxXQiGm,649817,Chicken coops in RS villages!!!
,E4PmmlqX,333412,Rustic but classic
,S313KZR3,905155,Compatibility datapack between ChoiceTheorem's overhauled village and Monobanks mod
,C5cIabB8,222097,Realistic tones and random block variants designed to make Minecraft feel a little more organic.
,A8aBf1Xa,451763,"A pbr/pom resource pack that won't take away your vanilla style, but will make it so much better!"
