name,modrinth,curseforge,description
,n1B6JCKV,839380,Portal Gun із занурювальними порталами.
100 днів вторгнення зомбі (старша версія Zombie Remake),l9m9tuPN,,"Пакет модів Dead Rising, заснований на відомому зомбі-апокаліпсисі, а також кілька нових модів із новими функціями в новій версії Minecraft! Мета відтворити якомога більше зомбі-апокаліпсису."
AOF (All Of Fabric) 1.19,mY0lOQFc,,Більше 200 модів!
Відмінна оптимізація,1KVo5zza,,"Простий модпак Minecraft, зосереджений на продуктивності та рендерингу."
Краще MC2 (тканина),shFhR8Vx,,Не грайте в цей модпак як в оригінальну версію!
Краще MC3 (тканина),NHUidpfR,,"Досвід Original+, орієнтований на гравця | Нова ера кращих MC!"
Краще MC4 (Forge),4BV47HRn,,Не грайте в цей модпак як в оригінальну версію!
Пакет оптимізації XPlus,UCpApD3P,,"XPlus PerioTable Modpack — це модпак, призначений для покращення досвіду оригінальної гри. Кінцева мета цього пакета модів — якомога більше покращити ванільний досвід виживання без зміни ігрової механіки, і він включає такі функції, як оптимізація FPS/MSPT, сумісність і утиліти виживання."
Редуктор FPS,,904910,
Світ анімації: Ланке Рен,rqoNUSYX,,Випуск BV1DT421a74L |🎨Естетичні покращення на основі офіційного стилю|⚔️Значні бойові враження|🐎Плавний оригінальний досвід верхової їзди|🏕️Фантастичні біоми та структури для дослідження|⚙️Цікаві налаштування та нова ігрова механіка
ферма,TDM3I9Mu,,"Farm Modpack — це модпак, створений для створення елегантної, атмосферної та спокійної гри. Від насіння до рослин, а також нових тварин, звуків і фізики"
,5FFgwNNP,,Офіційний модпак мода Cobblemon для Fabric!
,Jkb29YJU,,Почніть справжню пригоду покемонів у Minecraft: Cobblemon 1.7.3 | УСІ 1025 покемонів! | Мегаеволюції | Зали та значки | Стартовий набір | Унікальні структури | Авторська музика | Шейдери | Оптимізовано | І багато іншого! [1.21.1]
,ch7UHY2J,,Клієнтський оптимізаційний модпак з кількома додатковими налаштуваннями.
,1ocGzRHv,,"Збірка модів і пакунків Vanilla Plus для досконалого досвіду Minecraft, не відхиляючись надто далеко від відчуття базової гри!"
,vwgtbO0y,,"Цей модпак включає все необхідне для готового досвіду Pixelmon - Мод Pixelmon, Саундтрек Pixelmon, Journeymap, BYG, Компас Природи/Дослідника."
,EGs3lC8D,,"RPG модпак з багатим лором, побудований на користувацькому контенті. Піднімайте рівень і ставайте сильніше з Деревом Талантів, ковайте та покращуйте свою власну артефактну зброю та боріться з потужними босами, щоб зупинити вторгнення Порожнечі."
,rQiXwLhB,,"Втомилися щоразу отримувати той самий діамантовий меч і лук? BattleArmory робить кожне відродження сюрпризом – понад 400 сучасних зброй роздається випадково, від класики Call of Duty до кіберпанк-наукової фантастики, разом із класичними картами CS та тактичними кидальними предметами. Старт з 80+ FPS та плавною дією.** Це не пробна картка модового досвіду, це повністю безкоштовний тактичний шутер-модпак для 1.20.1. Завантажте, запустіть і одразу вступайте в бій."
,8yKzGJOG,,Модпак 'Коли я перевтілився у слимака' для Minecraft
,bHUKuhiA,,Найкраща альтернатива OptiFine 26.2
,C9FChyZ3,,"Пакет Pokemon Cobblemon - Моди QoL та Продуктивності! Сервер, включений до пакета, має Мегаеволюцію, Парадоксальних Покемонів, Зону Нуль, Реальні Зали Гравців, Рейди, Підземелля, Риболовлю Покемонів!"
,KRCZSt8F,,Forge 1.20.1 | Всі квести перероблено! | Найкращий хоррор-модпак з квестами та історією! ГРАЙТЕ ЗАРАЗ!
,fgUCZ5nU,,"Спочатку створено для сервера Pokemon Elysium, пак з акцентом на Cobblemon із відтінками низькотехнологічного стимпанку."
,i4XHCd7Q,,Реалістичний / середньовічний / оснований на прогресі модпак для Fabric 1.20.1
,MNW3LUwK,,"1.16.5-26.2 | Модпак продуктивності, щоб ваш комп'ютер не перетворився на крохмалисту картоплю, з Remarkably оптимізованою колекцією модів!"
,1Fv3GHYS,,"Обов'язково для гравців з редстоуном, легкий, швидкий, малий – ось його особливості!"
,e0oMrxjp,,"Єдиний модпак Hypixel SkyBlock, який вам потрібен. Створений для сучасного Minecraft — більше 60 оптимізованих модів, майстер налаштування та система конфігурації, якій не може суперечити жоден інший пак."
,nJ2Rn3SV,,"Мінімалістичний модпак, оптимізований для покращення продуктивності гри. Включає лише необхідні моди для підвищення FPS та зниження навантаження на систему, зберігаючи стабільність та плавність геймплею."
,oVn5uNcU,,"Індивідуальний список популярних модів для покращення ігрового процесу на Hoplite через Lunar Client, включаючи внутрішньоігровий голосовий чат близької дії."
,KmiWHzQ4,,[Модпак Hypixel Skyblock] Цей модпак включає поширені клієнтські утиліти разом із модом Skyblocker Liap.
,X2bWRWhV,,"Модпак для сервера ArdaCraft, проект Володар Перснів, що відтворює Середзем'я Дж.Р.Р. Толкіна у Minecraft."
,7zBMp9RO,,Виводить реалізм Minecraft на новий рівень.
,MdznSbKA,,"Зануртеся у пригодy з нашим модпаком! Досліджуйте Терраліт, захоплюйтеся структурами від YUNG's, MES та MVS; прийміть культовий мод Create та його аддони, чисті моди продуктивності, вирушайте в захопливу лінію квестів і багато іншого!"
,ICQPO4fX,,"Робіть Minecraft максимально анімованим та свіжим, залишаючись повністю клієнтським (подібне до паку Actions & Stuff)"
,t1tOiUHZ,,"Простий, оптимізований пак типу vanilla+, за винятком включення Create (та його аддонів). Тепер з Create: Aeronautics!"
,uPkIzDYf,,"Хоррор модпак, який жахливий"
,HghLSUi5,,"Мод оптимізовано та перекладено на PT-BR, створено для запуску Cobblemon на мобільних пристроях з Pojav."
,yiYYuulE,,"СТАБІЛЬНИЙ, 100 ПРОЦЕНТНО РОБОТОЗДАТНИЙ модпак для сумісності Distant Horizons & Iris Shaders."
,Mo0nlQxI,,"Легкий модпак, щоб миттєво зануритися у світ з друзями, використовуючи Simple Voice Chat на Lunar Client."
,mHMxXbIu,,Офіційний модпак мода Cobblemon для NeoForge!
,5rDdTb9b,,"Хоррор модпак, що додає кілька мешканців, Геробріна та численні механіки жахів та занурення в гру"
,7ude6Ebx,,Офіційний модпак сервера Jornadas Cobblemon.
,aOOJ2mte,,Модпак з модами продуктивності на (Neo)Forge
,ougHSXcz,,"Ви потрапляєте в пострадянський світ, захоплений паразитичними істотами, які зосереджені на споживанні решток людства. Світ штовхне вас до межі, поки ви боретеся за виживання проти невблаганного наступу цих жахливих паразитів."
,L9xxumt0,,Спроєктована оптимізація для PojavLauncher ✉️Дошка оголошень✉️ Підтримка Minecraft 1.21.1 Підтримка Minecraft 1.21 Підтримка Minecraft 1.20.6 Оновлення Minecraft 1.20.4 Оновлення Minecraft 1.20.2 Оновлення Minecraft 1.20.1 2024.8.17
,BHtwz1lb,,Функції OptiFine для Fabric — на базі оптимізації Fabric та сучасних модів продуктивності Minecraft. Високий FPS навіть на слабких системах. 26.2 alpha!
,g9O0WaGR,,"Продовження досвіду Legacy Console Edition, розширене сучасним контентом Java Edition та покращеннями якості життя! (Офіційний проєкт Legacy4J)"
,8fxQRGcg,,Найкращий модпак для оптимізації продуктивності PojavLauncher! Доступний у всіх версіях
,cqIwxyhH,,Індивідуальний список популярних модів для покращення ігрового процесу під час гри в Wynncraft на Lunar Client.
,uvlobdYF,,"Модпак, зосереджений на Create та соціальній взаємодії, що створює щасливий світ з друзями за допомогою механічних пристроїв. Відчуйте красу технологій та механіки."
,KHwMgdkE,,Найкращий досвід Backrooms для Minecraft
,6HvKwSky,,"Ласкаво просимо до Homestead, світу ручної роботи, повного завдань, яскравих ландшафтів та нескінченних можливостей будівництва. Оселяйтеся, досліджуйте та створюйте затишне життя, про яке ви завжди мріяли!"
,PITslCIA,,Індивідуальний список популярних модів для покращення ігрового процесу на острові MCC через Lunar Client.
,Pwyu7to9,,"Необхідний для гравців Create, легкий, швидкий та компактний!"
,IDrxZk6D,,"Єдиний модпак продуктивності, який вам коли-небудь знадобиться."
,tT6OXNXX,,Офіційний модпак для мода BlockFront
,cJJdkNYP,,Серверний модпак для.skyblock з деякими функціями vanilla+
,u76hn1pF,,"Відеорендер Vulkan забезпечує на 43% більшу продуктивність, ніж Sodium, на системах, обмежених драйверами. Без зайвого сміття."
,paoFU4Vl,,mc26.2 alpha - Сучасна альтернатива OptiFine з відкритим вихідним кодом для Fabric.
,wleDCmw2,,"Насолоджуйтесь Cobblemon у найкращому вигляді з цим модпаком для Cobblemon Pokemania! Сервер, включений до цього пакету, містить УСІ моделі покемонів, а також мегаеволюції, Z-прийоми, Терасталізацію, Рейди, Косметика та багато іншого!"
,ddF4bxsz,,"Максимальна продуктивність, усунення лагів та прискорення всього без псування ванилі. Sodium, Vulkan, Embeddium та Nothirium. Раніше називався Wing."
,lz3ryGPQ,,"Модпак, який робить Minecraft таким, яким він мав бути, щоб ви могли насолоджуватися ним знову."
,tlWx9npV,,Пориньте в справжню доісторичну атмосферу серед вражаючих та реалістичних динозаврів!
,22jj8tHD,,"Один з найкращих оптимізуючих модпаків для Minecraft, розроблений для підвищення продуктивності та покращення ігрового процесу."
,SzFfKsVP,,"Сервер для мода FiskHeroes / Fisk's SuperHeroes, що використовує офіційні HeroPacks."
,8xOSkvVU,,Цей пак прагне відтворити приголомшливу графіку трейлерів Minecraft у ванильній грі.
,BYN9yKrV,,mc26.2 alpha - Легкий модпак продуктивності з відкритим вихідним кодом для Fabric.
