name,modrinth,curseforge,description
,ZnmdXAk2,564236,Класичний космічний мод Minecraft
,bXX9h73M,621768,Додано підтримку контролера та комплексні вдосконалення можливостей керування.
,k2ZPuTBm,546670,"Покращте свої враження від Minecraft за допомогою простого мода. Організуйте світ безкоштовно, спілкуйтеся з друзями та багато іншого!"
,ll2RO0er,878379,Глибоко всередині Землі та в інших вимірах повітрям не завжди можна дихати.
,eFDDpt8w,630788,Вибирайте з понад 60 нарядів і станьте справжнім супергероєм у Minecraft!
,gPCdW0Wr,605235,"Клієнтський мод, який вириває частинки бульбашок і змушує їх реалістично підніматися на поверхню води."
,P7dR8mSH,306612,"Полегшений модульний API, який надає загальні хуки та заходи взаємодії, які використовуються модулями ланцюжка інструментів Fabric."
,derP0ten,852665,"Мутанти повертаються! Зіткніться з жахливими істотами та могутніми звірами, як ніколи раніше."
,wQfMUdZT,368223,"Клієнтський мод, який замінює кілька рядів ванільних сердечок на один ряд кольорових сердечок"
,Xbc0uyRg,624165,Будівельні інструменти та естетичні технології
,JmybsfWs,864781,"Мод, який додає випадковий вміст, можливо, намагаючись вписатися в тему Create!"
,Wq5SjeWM,416796,Легко налаштовуйте меню Minecraft!
,1PfY6b5p,521393,Рішення для модуля доступу до JEI API
,ohNO6lps,547434,Система конфігурації NeoForge і Forge доступна для решти модифікаційної екосистеми. Розроблено спеціально для багатозавантажувальної архітектури.
,5aaWibi9,341284,Керований даними ювелірний модуль
,fU7jbFHc,891234,Допоміжна бібліотека
,L6HW4EbG,841311,"Додає позначку до списку серверів, яка показує розташування сервера."
,fFEIiSDQ,412082,"Оригінал + розширення: банки, вказівники, змішувачі, флюгери, настінні бра, кашпо, світильники, декорації та автоматизація"
,g96Z4WVZ,949555,"Модулі оптимізації, зосереджені на вмісті, відмінному від відтворення"
,8BmcQJ2H,388172,"Бібліотека 3D-анімації для сутностей, блоків, предметів, броні та іншого!"
,dZ1APLkO,430735,"Мод, що дозволяє використовувати старі бойові системи і старі анімації в Minecraft."
,U6GY0xp0,924854,"Дослідіть шість нових рідкісних печерних біомів, прихованих під поверхнею надземного світу..."
,uy4Cnpcm,228525,Бібліотека з відкритим кодом для інших модів!
,EltpO5cN,615106,"Мод, який гарантує, що ніхто не втратить здобич! Усі лутбокси індивідуальні та візуально унікальні для кожного гравця."
,s9hF9QGp,581009,Безкоштовні спеціальні накидки та прикраси Minecraft
,bSkHUVQQ,268647,"Додає блок для зберігання очок досвіду, доступний для всіх гравців"
,qwvI41y9,911437,"Простий і настроюваний мод, який робить усі (включаючи пакети та модифікації) структури більш розпорошеними (або більш поширеними!), по суті, роблячи їх рідшими/легкими для пошуку. Корисно у великих пакетах модифікацій, що містять велику кількість модифікацій структури, щоб стимулювати дослідження"
,iAiqcykM,561885,"Натисніть клавіші швидкого доступу, щоб збільшити, і використовуйте коліщатко миші, щоб відрегулювати коефіцієнт масштабування!"
