name,modrinth,curseforge,description
,dJDguz4I,554334,Додано більше сільських будинків до села RS
,fowZjVlu,916716,Додано відсутні рецепти для підтримки ігрового процесу виживання.
,LWGq2eg6,888795,Додайте модулі значків до карт і міні-карт xaero. Кілька модулів значків
,5TWoVsKB,825227,Додано будинки шеф-кухаря та кухні до села RS!
,neV8mvWG,902219,
,U5SedJ9S,580036,Нова покращена панель здоров'я Boss!
,MWxo45tD,966271,Я створив реалістичний пакет текстур за допомогою ШІ. Це HD версія.
,vPaHlT2U,1009214,"Пакет ресурсів EMF, який надає гравцям анімацію очей від Fresh Animations. це все..."
,HVnmMxH1,627557,"Збереження елементів Minecraft із винятковою якістю, деталізацією та продуктивністю."
,ta5dy0aA,477204,Minecraft Reimagined
,e1btfmyH,511091,Пакет ресурсів для всіх істот у всесвіті Minecraft!
,BaY1UdGV,853880,"Dark UI, який додає унікальні текстури до кожного функціонального блоку"
,8GunilxB,538850,Додано 10 спеціальних рамок для легендарних підказок.
,yfDziwn1,867964,Неофіційний переклад мода Sodium Minecraft
,RRxvWKNC,580683,Слабке полум'я на екрані! Сумісний з оригінальною версією
,IsCR9XVF,544434,"Додатковий пакет для BetterVanillaBuilding, який повторно додає накладки для трави/бруду/піску тощо."
,dspVZXKP,819030,Змушує траву та пов’язані з нею блоки використовувати верхні текстури з боків. Сумісний з іншими пакетами ресурсів!
,wCD3KHxh,854640,"Пакети текстур для Minecraft забезпечують реалістичний вигляд із детальними текстурами та ефектами природного освітлення. Ідеально підходить для гравців, яким подобається природна естетика."
,gAvG8ZeC,917314,Храм RS змінено на стиль Better Jungle Temple
,h6zxsNVF,664719,"Mandala GUI — це елегантна тема в стилі Mandala Creations. Призначений для людей, які люблять темний режим. Він змінює лише інтерфейс користувача Minecraft, а не елементи чи блоки."
,PTSGmxET,471167,Капітальний перегляд оригінальних текстур HD та PBR
,tDBJQuOZ,961553,"Зовнішній вигляд зомбі оновлено, щоб зробити його більш реалістичним і анімованим із фізичними ефектами"
,w0TnApzs,436482,Збережіть відчуття текстури оригінального Minecraft з подвійною роздільною здатністю та вдвічі веселішими!
,izsIPI7a,431203,"MakeUp прагне забезпечити найкраще співвідношення якість/продуктивність, створюючи шейдер, який може адаптуватися до будь-яких ресурсів."
,oL18adaQ,597127,"Зробіть так, щоб руда стала більш помітною, і додайте до неї сполучні контури, щоб не пропустити жодного блоку. Підтримує моди."
,RphJSnEs,406081,"Пакет шейдерів з широкими можливостями налаштування. Якщо ви любите спеціальні ефекти, цей пакет шейдерів для вас!"
,UYd23ZmY,592278,До села RS додано мідного голема та пасічника
,rx58ZUPu,300317,Портовані сучасні ванільні та модні текстури на старіші версії
,DH3mBsnJ,359168,"Покращення, дружні до оригіналу. Підтримка функції Optifine"
,prcbs7PM,367352,"Додано межі до кожної руди, щоб полегшити їх пошук"
,XlqZTP4W,296616,"Дерева в реальному житті круглі, чому б не в Minecraft?"
,EQWX2WiO,618217,"Стилізований пакет шейдерів Iris на тему жахів, який можна налаштувати та продуктивний."
,YAVTU8mK,813608,Надає додаткові параметри налаштування для Fresh Animations.
,kawJN2LZ,834285,Додатки сумісності для модів Friends and Foes і CTOV
,16olY6M5,813307,"Використовуйте формат Optifine/ConnectedTextureMod/Vanilla (CoreShaders), щоб щось світилося або самосвітилося ванільним кольором."
,qQCeAB8E,903049,Додайте додаткову угоду для VillagersPlus
,2HCcCaiw,962689,
,lsMrkYaZ,915864,Просте доповнення для створення модифікованих руд у стилі JICKLUS!
,qcfGSnrv,871190,Російський переклад і виправлення тексту для мода.
,5aPp18Lx,496311,"Легкий пакет ресурсів, який переважно надає оригінальні 3D-моделі"
,ff4JOkSA,557489,Надає всьому листю пишний вигляд
,yUIJRaXB,936567,"Цього разу я пропоную вам PvP-пакет «Blue Flash». Це простий набір текстур PvP, який змінює текстури GUI броні та зброї на основі синіх і білих тонів. Цей пакет робить ваші битви PvP ще кращими. Підтримується версія 1.16 і вище."
,iqOgCgNa,606254,"Додайте вежу, схожу на The Legend of Zelda: Breath of the Wild, щоб зробити дослідження ще веселішими!"
,PUUpX2qq,520028,"Пакет ресурсів 32x, деталі обробляються дуже ретельно"
,nX8FKH9H,749689,Шрифт готичної середньовічної рольової гри
,4Tjpn35e,1007509,"Текстура деревини за замовчуванням трохи нудна і повторюється. Ви відчуваєте, що потрібні зміни?"
,nkIDbx5j,580481,[ 1.13 - 1.19 ] Реалістичне та дуже цілісне прозоре скло!
,LBcosBrl,356831,"Не тільки ретекстура, але й пакет текстур, який містить додаткові блоки, предмети та різновиди біомів."
,VBRCYdWr,567347,"Пропонує оригінальні колоніальні хатини, блоки та предмети."
,zQHARVIr,455845,"STONEBORN — це проста, але унікальна зміна інтерфейсу користувача, натхненна фентезійними медіа."
,xldhKzjO,927966,"Як ви вважаєте, ельфи дев'ятого покоління занадто потворні і виглядають поспішними? Ось виправлення!"
,2YyNMled,231821,"Dramatic Skys — це додатковий пакет, який додасть реалістичні хмари високої чіткості та світлові ефекти до вашого ігрового неба. Цей пакет сумісний з будь-яким іншим пакетом ресурсів, просто додайте його поверх інших пакетів на екрані вибору!"
,mjPjLK0t,945447,"Графічний інтерфейс на тему космосу, наповнений зірками та туманностями."
,zzh3Y6f4,298127,"Відкритий шрифт, схожий на Google."
,WiAsCCzc,817895,"Супер милий пакет ресурсів, який повністю відповідає стандартам LabPBR!"
,iHC8BZn4,1040578,"Атмосферний набір шейдерів жахів із можливістю налаштування, наступник Insanity Shader."
,UHDcis5V,506559,Найкращий ванільний пакет ресурсів? можливо...
,ijwaqfQD,380118,Кращі текстури трави (підтримує Optifine)
,HNlCBDGp,696522,"Цей пакет ресурсів є полегшеною версією повного пакету ресурсів 424Friends, який містить лише модифіковані картини, які було замінено картинами на тему 424Friends із використанням нашого офіційного логотипу та значків."
,6uJCfiCH,921717,Жахлива модифікована версія додаткових шейдерів
,an4fOhuR,720642,Надокучливий пакет серверів сільського жителя
,wE0hjz4k,883456,Пакет даних сумісності між модом ремонту села ChoiceTheorem і модом альтанок
,VpyBGfGz,591507,До села RS додано будинки PneumaticCraft
,6SLU7tS5,349116,🌙 Minecraft: Пакет ресурсів темного режиму для Java Edition
,DG1SXHAm,951805,"Модуль перехрестя, спеціально розроблений для PVP, замінює оригінальний перехрестя на стиль PVP"
,pedwdTC8,862558,Відображати поживну цінність продукту в підказках
,uakHOvte,986528,"Модуль перехрестя, спеціально розроблений для PVP, замінює оригінальний перехрестя на стиль PVP"
,orfTV6nk,223164,"128x HD версія класичного досвіду MC! Отримайте текстуру світла й тіні, не пропускаючи рамки!"
,qYQZ6QvN,939100,Налаштуйте фонове зображення головного інтерфейсу MC
,LgvDiFDR,476719,Додано кілька варіантів для руд!
,wpQSS5ZP,664122,Справжній матеріал PBR 16x за замовчуванням
,dLYWYSIm,878406,Пакет даних сумісності для модулів CTOV і Advanced Peripheral
,DyS2E78l,986353,Ретекстурування та модифікація моделі деяких блоків/елементів у Create: Teleporters
,LxWe8vLh,1096454,16x Texture Pack: забезпечує базову сумісність для модулів серії Ashen 16x і Let's Do
,CpA767Rl,308355,Застосовується до версії 1.8.8+; робить усі ігрові інтерфейси прозорими та представляє мінімалістичний сучасний стиль! Підтримує ефекти полум'я та гарбузової голови
,6gN0TwLG,909738,
,r4GILswZ,419139,Текстури з подвійною роздільною здатністю забезпечують неперевершену деталізацію!
,vlbXWQ2k,907048,Екранування більше не закриває половину екрану!
,B9RvpVrv,622551,Додайте справжні гірські біоми до світу MC
,uudmIrRl,864002,Введіть оригінальний вміст у вимір небес!
,apRwIWGw,690845,Створюйте унікальні текстури для кожної зачарованої книги! Optifine/Citresewn не потрібні!
,mKaYfrOy,640296,Змінено стиль RS Pyramid на Better Desert Temple
,ePaZVJM4,634440,Стиль RS Witch Hut змінено на Better Witch Hut
,uZAJ8Zy7,870007,ChoiceTheorem Village Overhaul Compatibility Data Pack with Wizard Mod
,qUbxpIPN,554329,Підземелля RS змінено на стиль Better Dungeon
,tN4E9NfV,855981,"Навчальний інструмент, який пояснює механізми звітування в чаті простим і нейтральним способом"
,zCW2yzTP,861004,З ультрареалістичними пакетами текстур і приголомшливими візуальними ефектами почніть безпрецедентну пригоду MC!
,2C5ThaTB,520155,Сучасний гладкий шрифт благоустрою
,zSHTYbCW,885169,"Набір матеріалів із візерунками для сяючої броні (потрібно Optifine, активуйте 10 кольорів і 16 світлових візерунків, перейменувавши)"
,dqHyaXIs,407973,Приручені вовки перетворяться на 41 справжню породу собак
,aTAs6Zq8,859805,"Модуль перехрестя, спеціально розроблений для PVP, замінює оригінальний перехрестя на стиль PVP"
,izDZRaNR,428068,MC самопросвітний матеріал
