name,modrinth,curseforge,description
,n1B6JCKV,839380,Portal Gun with Immersive Portals.
AOF(All Of Fabric) 1.19,mY0lOQFc,,超过200个mods!
FPS减速器,,904910,
XPlus优化包,UCpApD3P,,XPlus PerioTable Modpack 是一个旨在改善原版游戏体验的 Modpack。这个 modpack 的最终目标是在不改变游戏机制的情况下尽可能地改善原版生存体验，它包括 FPS/MSPT 优化、兼容性和生存实用工具等功能。
僵尸入侵 100 天（高版本惊变重制）,l9m9tuPN,,以著名的僵尸启示录为原型，加上一些具有新功能的新模组在 Minecraft 新版本中制作的丧尸围城整合包！旨在尽可能多地还原僵尸启示录。
农场,TDM3I9Mu,,The Farm Modpack 是一个旨在提供优雅、氛围感和轻松游戏体验的整合包. 从种子到植物，还加入了一些新动物、声音和物理效果
出色の优化,1KVo5zza,,一个简单的 Minecraft 整合包，专注于性能和渲染。
动画世界:烂柯人,rqoNUSYX,,发布 BV1DT421a74L |🎨基于官方风格的美学改进|⚔️酣畅淋漓的战斗体验|🐎流畅的原版骑行体验|🏕️奇妙的生物群落和结构可供探索|⚙️有趣的调整和新的游戏机制
更好的MC2(Fabric),shFhR8Vx,,不要像玩原版一样玩这个整合包!
更好的MC3(Fabric),NHUidpfR,,以玩家为中心的 原版+ 体验 |更好的 MC 的新时代！
更好的MC4(Forge),4BV47HRn,,不要像玩原版一样玩这个整合包!
,5FFgwNNP,,Cobblemon 模组的官方整合包，适用于 Fabric！
,Jkb29YJU,,在 Minecraft 中开始真正的宝可梦冒险：Cobblemon 1.7.3 | 全部 1025 只宝可梦！| 超级进化 | 道馆与徽章 | 初始套装 | 独特结构 | 自定义音乐 | 着色器 | 优化 | 还有更多！[1.21.1]
,ch7UHY2J,,包含一些额外调整的客户端优化整合包。
,1ocGzRHv,,Vanilla Plus 模组与整合包的合集，旨在完善 Minecraft 体验，同时不偏离原版游戏的感觉！
,vwgtbO0y,,此整合包包含了作为预建 Pixelmon 体验所需的一切——Pixelmon 模组、Pixelmon 原声带、Journeymap、BYG、自然/探险家指南针。
,EGs3lC8D,,一个基于自定义内容的剧情丰富的 RPG 整合包。通过天赋树升级并变得更强，锻造并升级你自己的神器武器，击败强大的 Boss 以阻止虚空的入侵。
,rQiXwLhB,,厌倦了每次重生都拿到同样的钻石剑和弓吗？BattleArmory 让每次重生都像开盲盒——随机分发 400 多种现代武器，从《使命召唤》经典步枪到赛博朋克科幻武器，搭配 CS 经典地图和战术投掷物。起步 80+ FPS，丝滑战斗。** 这不是模组体验卡，这是完全免费的 1.20.1 战术射击整合包，下载启动，直接开战。
,8yKzGJOG,,Minecraft 版《关于我转生变成史莱姆这档事》整合包
,bHUKuhiA,,OptiFine 26.2 的最佳替代品
,C9FChyZ3,,宝可梦 Cobblemon 包 - 生活质量与性能模组！整合包中包含的服务器支持超级进化、悖论宝可梦、零区、真实玩家道馆、团队战、地牢、宝可梦钓鱼！
,KRCZSt8F,,Forge 1.20.1 | 所有任务已重新制作！| 带有任务和剧情的最佳恐怖整合包！立即游玩！
,fgUCZ5nU,,最初为 Pokemon Elysium 服务器制作，这是一个以 Cobblemon 为主的整合包，带有低科技蒸汽朋克的暗示。
,i4XHCd7Q,,适用于 Fabric 1.20.1 的写实/中世纪/成长型整合包
,MNW3LUwK,,1.16.5-26.2 | 一款性能整合包，防止你的电脑变成“淀粉土豆”，配备了一套经过显著优化的模组集合！
,1Fv3GHYS,,红石玩家必备，轻量、快速、小巧——这就是它的特点！
,e0oMrxjp,,你唯一需要的 Hypixel SkyBlock 整合包。专为现代 Minecraft 打造——60 多个优化模组、引导式设置向导，以及任何其他整合包都无法比拟的配置系统。
,nJ2Rn3SV,,旨在提升游戏性能的极简整合包。仅包含必要的模组以提高帧率并降低系统负载，同时保持稳定性和流畅的游戏体验。
,oVn5uNcU,,专为通过 Lunar Client 在 Hoplite 上增强游戏体验而定制的人气模组列表，包括游戏内近距离语音聊天。
,KmiWHzQ4,,[Hypixel Skyblock 整合包] 此整合包包含常见的客户端工具以及 Skyblocker Liap 模组。
,X2bWRWhV,,ArdaCraft 服务器的整合包，这是一个《指环王》项目，旨在在 Minecraft 中重现 J.R.R. 托尔金的中土世界。
,7zBMp9RO,,将 Minecraft 的真实感提升到新的水平。
,MdznSbKA,,在我们的整合包中投入冒险吧！探索泰拉利斯，惊叹于 YUNG's、MES 和 MVS 的结构；拥抱标志性的 Create 模组及其附加组件、纯净的性能优化模组，踏上迷人的任务线，以及更多！
,ICQPO4fX,,在保持完全基于客户端的同时，让 Minecraft 尽可能像动画一样生动和新鲜（类似于 Actions & Stuff 整合包）
