name,modrinth,curseforge,description
,dJDguz4I,554334,为RS村庄添加更多村民房屋
,fowZjVlu,916716,添加缺失的配方，以支持生存玩法。
,LWGq2eg6,888795,为xaero的地图和小地图添加图标模组 多种图标模组
,5TWoVsKB,825227,为RS村庄添加厨师和厨房房屋！
,neV8mvWG,902219,
,U5SedJ9S,580036,全新改进的Boss血条！
,MWxo45tD,966271,我在AI的帮助下制作了一个写实材质包。这是高清版本。
,vPaHlT2U,1009214,一个EMF资源包，为玩家带来Fresh Animations的眼睛动画。仅此而已...
,HVnmMxH1,627557,以卓越的质量、细节和性能保留Minecraft的元素。
,ta5dy0aA,477204,Minecraft的重新构想
,e1btfmyH,511091,适用于Minecraft宇宙中所有生物的资源包！
,BaY1UdGV,853880,为每个功能块添加独特纹理的暗色UI
,8GunilxB,538850,添加10种自定义框架，用于Legendary Tooltips。
,yfDziwn1,867964,Sodium Minecraft模组的非官方翻译
,RRxvWKNC,580683,屏幕上的低火焰！兼容原版
,IsCR9XVF,544434,BetterVanillaBuilding的附加包，为草地/泥土/沙子等重新添加覆盖层。
,dspVZXKP,819030,使草和相关方块在侧面使用顶部纹理。与其他资源包兼容！
,wCD3KHxh,854640,Minecraft的材质包提供写实外观，具有详细的纹理和自然光照效果。非常适合喜欢自然美学的玩家。
,gAvG8ZeC,917314,将RS神庙改为Better Jungle Temple的风格
,h6zxsNVF,664719,Mandala GUI是一个优雅的主题，采用Mandala Creations的风格。专为喜欢暗黑模式的人设计。它只改变Minecraft的UI，不改变物品或方块。
,PTSGmxET,471167,对原版纹理进行高清和PBR全面改造
,tDBJQuOZ,961553,更新僵尸外观，使其更具真实感，带有物理效果的动画
,w0TnApzs,436482,保留原版Minecraft的纹理感觉，分辨率翻倍，乐趣翻倍！
,izsIPI7a,431203,MakeUp旨在提供最佳的质量/性能比，构建一个可以适应任何人资源的着色器。
,oL18adaQ,597127,使矿石发光以使其更显眼，并为其添加连接轮廓，这样你就不会错过任何一个方块。支持模组。
,RphJSnEs,406081,高度可定制的着色器包。如果你喜欢特效，这个着色器包就是为你准备的！
,UYd23ZmY,592278,为RS村庄添加铜傀儡和养蜂人
,rx58ZUPu,300317,将现代原版和模组纹理移植到旧版本
,DH3mBsnJ,359168,对原版友好的改进。支持Optifine功能
,prcbs7PM,367352,为每种矿石添加边框，使其更容易找到
,XlqZTP4W,296616,现实中的树是圆的，为什么Minecraft中的不是？
,EQWX2WiO,618217,一个风格化、恐怖主题的Iris着色器包，具有高度可定制性和性能。
,YAVTU8mK,813608,为Fresh Animations提供额外的自定义选项。
,kawJN2LZ,834285,Friends and Foes模组和CTOV的兼容性附加组件
,16olY6M5,813307,使用Optifine/ConnectedTextureMod/Vanilla(CoreShaders)格式让一些东西在原版中发光或自发光。
,qQCeAB8E,903049,为VillagersPlus添加Supplementaries的交易
,2HCcCaiw,962689,
,lsMrkYaZ,915864,一个简单的附加组件，使一些模组矿石符合JICKLUS风格！
,qcfGSnrv,871190,模组的俄语翻译和文本修复。
,5aPp18Lx,496311,一个轻量级资源包，主要提供原版风格的3D模型
,ff4JOkSA,557489,为所有树叶赋予茂密的外观
,yUIJRaXB,936567,这次我为大家带来“蓝色闪光”PvP包。这是一个简单的PvP材质包，基于蓝白色调改变盔甲和武器的GUI纹理。这个包让你的PvP战斗更出色。支持1.16及以上版本。
,iqOgCgNa,606254,添加类似《塞尔达传说：旷野之息》的塔楼，让探索更有趣！
,PUUpX2qq,520028,32x资源包，细节处理非常用心
,nX8FKH9H,749689,哥特中世纪RPG字体
,4Tjpn35e,1007509,默认的木材纹理有些无聊且重复。你觉得需要改变吗？
,nkIDbx5j,580481,[ 1.13 - 1.19 ] 一个真实且非常连贯的透明玻璃！
,LBcosBrl,356831,"Not only a retexture, but a texturepack that contains additional blocks, items and biome varieties.  "
,VBRCYdWr,567347,提供具有原版风格的殖民地小屋、方块和物品。
,zQHARVIr,455845,STONEBORN是一个简单而独特的UI改造，灵感来自奇幻媒体。
,xldhKzjO,927966,是否觉得第九代的精灵太丑且看起来匆忙？这里有一个修复方案！
,2YyNMled,231821,Dramatic Skys是一个附加包，将为你的游戏天空添加高清的逼真云朵和光照效果。这个包与任何其他资源包兼容，只需在选择屏幕上将其添加到其他包之上！
,mjPjLK0t,945447,太空主题的GUI - 充满星星和星云。
,zzh3Y6f4,298127,一个看起来类似于Google的开放字体。
,WiAsCCzc,817895,一个超级可爱的资源包，完全符合LabPBR标准！
,iHC8BZn4,1040578,氛围感强、高度可定制的恐怖着色器包，Insanity Shader的继任者。
,UHDcis5V,506559,最好的原版资源包？也许吧...
,ijwaqfQD,380118,更好的草地纹理（支持Optifine）
,HNlCBDGp,696522,这个资源包是完整424Friends资源包的轻量版，仅包含修改后的画作，这些画作已被替换为使用我们官方标志和图标的424Friends主题画作。
,6uJCfiCH,921717,一个恐怖的Complementary Shaders修改版
,an4fOhuR,720642,烦人的村民服务器包
,wE0hjz4k,883456,ChoiceTheorem的村庄改造模组和gazebos模组之间的兼容性数据包
,VpyBGfGz,591507,为RS村庄添加PneumaticCraft房屋
,6SLU7tS5,349116,🌙 Minecraft: Java版的暗黑模式资源包
,DG1SXHAm,951805,专为PVP设计的准星模组，将原版准星替换为PVP风格
,pedwdTC8,862558,在物品提示信息中显示食物营养价值
,uakHOvte,986528,专为PVP设计的准星模组，将原版准星替换为PVP风格
,orfTV6nk,223164,经典MC体验的128x高清版！获得光影质感且不掉帧！
,qYQZ6QvN,939100,自定义MC主界面背景图片
,LgvDiFDR,476719,为矿石添加多种变体！
,wpQSS5ZP,664122,真16x默认PBR材质
,dLYWYSIm,878406,CTOV与Advanced Peripheral模组的兼容数据包
,DyS2E78l,986353,对Create: Teleporters部分方块/物品的材质重制与模型改造
,LxWe8vLh,1096454,16x材质包：为Ashen 16x与Let's Do系列模组提供基础兼容
,CpA767Rl,308355,1.8.8+版本适用；使所有游戏界面透明化，呈现极简现代风格！支持火焰与南瓜头覆盖层效果
,6gN0TwLG,909738,
,r4GILswZ,419139,四倍分辨率纹理带来极致细节体验！
,vlbXWQ2k,907048,屏蔽不再遮挡半个屏幕！
,B9RvpVrv,622551,为MC世界添加真实山脉群系
,uudmIrRl,864002,为天境维度注入原创内容！
,apRwIWGw,690845,为每种附魔书设计独特纹理！无需Optifine/Citresewn！
,mKaYfrOy,640296,将RS金字塔改为Better Desert Temple风格
,ePaZVJM4,634440,将RS女巫小屋改为Better Witch Hut风格
,uZAJ8Zy7,870007,ChoiceTheorem村庄大修与Wizards模组的兼容数据包
,qUbxpIPN,554329,将RS地牢改为Better Dungeon风格
,tN4E9NfV,855981,用简单中立的方式解析聊天举报机制的教育工具
,zCW2yzTP,861004,超写实材质包与震撼视觉效果，开启前所未有的MC冒险之旅！
,2C5ThaTB,520155,现代化平滑字体美化
,zSHTYbCW,885169,发光盔甲纹饰材质包（需Optifine，通过重命名激活10色16款发光纹样）
,dqHyaXIs,407973,驯服的狼将变成41种真实犬种
,aTAs6Zq8,859805,专为PVP设计的准星模组，将原版准星替换为PVP风格
,izDZRaNR,428068,MC自发光材质
,Bod7oeB2,643512,PVP专用RPG剑械工具包（含自定义准星）
,GJ4GGBq6,689285,NBArmors模组官方高清材质包，现已包含55套HD护甲
,mh9nQqo4,881633,CC:Tweaked的机械动力风格重制
,zrzYrlm0,811803,敌对生物会破土而出或凭空闪现！
,kl640Av3,652685,在RS村庄添加宠物商店！
,P5wB88AS,554331,将农夫乐事加入重构村庄
,7z5vv7za,686611,让矿石在黑暗中发光
,DCHWs5EF,499464,使Bare Bones兼容Fresh Animations的材质包
,a2GCqbko,883459,CTOV与滑翔伞模组的兼容数据包
,Z9UclEVT,704941,为BetterNether添加木工台配方
,O7z3QKAG,422346,为游戏多个系统添加图标化设计
,qfYE1L5z,662592,为矿石添加发光轮廓线！兼容多数材质包！
,3xf3eGxN,390367,Chris Geddes制作的宝可梦模组原声集
,kJix7Q1N,887445,末地维度增强！
,S2Zdxlhc,951803,迷你准星替换模组
,RbDebQrR,1014677,Stoneborn UI大修模组的小型兼容合集
,ZTdGFilE,1038940,Better 3D Craft材质包：新增70+个3D方块/物品模型
,udpUpENa,956447,将彩色区块边界线恢复默认颜色
,1PGegzf5,911408,顶级界面覆盖材质包
,XSPvBAGx,554361,在RS村庄生成冰火传说的建筑
,WbANFu9v,775765,塞尔达传说风之杖字体
,ESu26zW9,332329,在保留传统韵味的同时焕新MC画风？CreatorPack高清材质包满足你！
,uefkcaqY,920589,机械动力风格的进度牌样式
,KEtTF8II,847523,支持光影的新全景图
,FRSckbRo,336686,经典MC画风搭配革新3D模型
,L21ipgCe,892905,为我的塔罗牌模组替换金色卡牌为彩色版本
,mC2IML84,877191,为物品提示添加徽章图标与彩色标签
,Symh7COQ,468836,Created Storage Network材质包：将Lothrazar的存储网络模组纹理替换为Simibubi的机械动力风格
,8PxXQiGm,649817,RS村庄现可生成鸡舍！！！
,E4PmmlqX,333412,质朴而经典
,S313KZR3,905155,ChoiceTheorem村庄大修与Monobanks模组的兼容数据包
,C5cIabB8,222097,写实色调与随机方块变体，让MC更富有机质感
,A8aBf1Xa,451763,保留原版风格的PBR/POM高清材质包
,L0iIXINl,882877,个人设计的优雅MC字体
,ZyLGK5YD,973588,
,DERCGCA3,888288,该资源包是Loading Backgrounds模组的完美补充，专门添加与建筑相关的加载画面。
,zREUZ4Cs,683155,Whimscape的茂密树叶附加组件
,fUawEtti,964322,GregTech/GT模组的物品、方块及GUI的32x32高清纹理
,KP2WhfaM,316946,[已停更] 化身蚁人！
,vqrI97xw,952112,《泰拉复兴》模组的物品、方块及GUI的32x32高清纹理
,rox3U8B6,327786,采用宣传片风格的Minecraft纹理
,9nStzADg,858982,允许宝可梦以不同尺寸生成（需安装Pehkui模组）
,cWBm5y89,1096434,16x迷你资源包：为Ashen 16x与Eldritch End提供基础兼容性
,f9KJTi50,263638,禁用主界面（标题画面）的背景音乐
,ur1ZuVtB,1096438,16x迷你资源包：为Ashen 16x与Better End提供基础兼容性
,R4g9Nf07,593570,PBR材质包：将像素艺术风格转化为圆润立体效果
,8bf2GogI,855152,在保留原版风格的同时大幅优化、升级与修复各类元素
,BcyGAwlg,860903,提升《路石》模组纹理的材质包
,9D4BBjDX,855573,无需着色器也能呈现闪亮3D矿石效果
,WQ8xE11Z,690393,将RS海底遗迹改为Better Ocean Monument风格
,7FPKQLzr,871465,发光动态矿石（支持1.16至最新版）：在黑夜与黑暗效果中熠熠生辉
,Srw5RQ6k,513425,为讨厌材质包的人准备的材质包
